Episode,Episode_Return,Episode_Return_smooth,env_step
1,9.0,9.0,512
2,9.0,9.0,512
3,19.0,12.333333333333334,1150
4,19.0,14.0,1150
5,19.0,15.0,1150
6,19.0,15.666666666666666,1150
7,19.0,16.142857142857142,1150
8,19.0,16.5,1150
9,28.0,17.77777777777778,1720
10,28.0,18.8,1720
11,28.0,19.636363636363637,1720
12,37.0,21.083333333333332,2293
13,46.0,23.0,2868
14,36.0,23.928571428571427,3443
15,55.0,26.0,3443
16,27.0,26.0625,3443
17,64.0,28.294117647058822,4016
18,64.0,30.27777777777778,4016
19,64.0,32.05263157894737,4016
20,55.0,33.2,4016
21,73.0,35.095238095238095,4588
22,73.0,36.81818181818182,4588
23,73.0,38.391304347826086,4588
24,36.0,38.291666666666664,5161
25,91.0,40.4,5736
26,91.0,42.34615384615385,5736
27,99.0,44.44444444444444,6246
28,8.0,43.142857142857146,6757
29,51.0,43.41379310344828,7268
30,123.0,46.06666666666667,7779
31,131.0,48.806451612903224,8290
32,141.0,51.6875,8929
33,141.0,54.39393939393939,8929
34,141.0,56.94117647058823,8929
35,141.0,59.34285714285714,8929
36,149.0,61.833333333333336,9437
37,139.0,63.91891891891892,10012
38,43.0,63.36842105263158,10012
39,35.0,62.64102564102564,10012
40,167.0,65.25,10585
41,167.0,67.73170731707317,10585
42,176.0,70.30952380952381,11159
43,103.0,71.06976744186046,11159
44,112.0,72.0,11159
45,176.0,74.31111111111112,11159
46,184.0,76.69565217391305,11667
47,184.0,78.97872340425532,11667
48,119.0,79.8125,12177
49,191.0,82.08163265306122,12688
50,171.0,83.86,13199
51,68.0,83.54901960784314,13774
52,217.0,86.11538461538461,13774
53,217.0,88.58490566037736,13774
54,225.0,91.11111111111111,14283
55,233.0,93.69090909090909,14794
56,42.0,92.76785714285714,15369
57,75.0,92.45614035087719,15369
58,144.0,93.34482758620689,15943
59,196.0,95.08474576271186,15943
60,120.0,95.5,15943
61,169.0,96.70491803278688,15943
62,251.0,99.19354838709677,15943
63,260.0,101.74603174603175,16514
64,84.0,101.46875,16514
65,35.0,100.44615384615385,16514
66,260.0,102.86363636363636,16514
67,76.0,102.46268656716418,16514
68,241.0,104.5,16514
69,205.0,105.95652173913044,16514
70,43.0,105.05714285714286,16514
71,232.0,106.84507042253522,16514
72,268.0,109.08333333333333,17017
73,249.0,111.0,17017
74,268.0,113.12162162162163,17017
75,268.0,115.18666666666667,17017
76,276.0,117.30263157894737,17525
77,16.0,115.98701298701299,17525
78,59.0,115.25641025641026,17525
79,118.0,115.29113924050633,17525
80,24.0,114.15,18033
81,284.0,116.24691358024691,18033
82,126.0,116.36585365853658,18033
83,41.0,115.4578313253012,18542
84,116.0,115.46428571428571,18542
85,245.0,116.98823529411764,19052
86,308.0,119.20930232558139,19563
87,158.0,119.65517241379311,20074
88,108.0,119.52272727272727,20074
89,40.0,118.62921348314607,20584
90,91.0,118.32222222222222,20584
91,72.0,117.81318681318682,21094
92,64.0,117.22826086956522,21605
93,16.0,116.13978494623656,21605
94,276.0,117.84042553191489,21605
95,340.0,120.17894736842105,21605
96,340.0,122.46875,21605
97,16.0,121.37113402061856,21605
98,340.0,123.60204081632654,21605
99,8.0,122.43434343434343,22110
100,348.0,124.69,22110
101,207.0,126.67,22110
102,88.0,127.46,22110
103,80.0,128.07,22618
104,96.0,128.84,22618
105,96.0,129.61,23128
106,104.0,130.46,23128
107,122.0,131.49,23128
108,364.0,134.94,23128
109,24.0,134.9,23636
110,180.0,136.42,23636
111,196.0,138.1,23636
112,96.0,138.69,23636
113,196.0,140.19,23636
114,56.0,140.39,23636
115,205.0,141.89,23636
116,308.0,144.7,23636
117,380.0,147.86,24140
118,96.0,148.18,24140
119,8.0,147.62,24140
120,104.0,148.11,24140
121,8.0,147.46,24140
122,40.0,147.13,24140
123,289.0,149.29,24140
124,64.0,149.57,24140
125,48.0,149.14,24644
126,137.0,149.6,24644
127,247.0,151.08,24644
128,297.0,153.97,24644
129,369.0,157.15,24644
130,388.0,159.8,24644
131,120.0,159.69,24644
132,104.0,159.32,24644
133,137.0,159.28,24644
134,32.0,158.19,25147
135,212.0,158.9,25147
136,396.0,161.37,25147
137,136.0,161.34,25147
138,24.0,161.15,25147
139,56.0,161.36,25147
140,56.0,160.25,25147
141,48.0,159.06,25147
142,16.0,157.46,25651
143,8.0,156.51,25651
144,8.0,155.47,25651
145,48.0,154.19,25651
146,162.0,153.97,25651
147,24.0,152.37,26158
148,16.0,151.34,26158
149,412.0,153.55,26158
150,393.0,155.77,26158
151,24.0,155.33,26158
152,104.0,154.2,26158
153,16.0,152.19,26664
154,32.0,150.26,26664
155,32.0,148.25,26664
156,16.0,147.99,26664
157,40.0,147.64,26664
158,64.0,146.84,27171
159,40.0,145.28,27171
160,56.0,144.64,27171
161,8.0,143.03,27171
162,48.0,141.0,27171
163,8.0,138.48,27171
164,56.0,138.2,27171
165,40.0,138.25,27171
166,96.0,136.61,27171
167,48.0,136.33,27674
168,40.0,134.32,27674
169,436.0,136.63,27674
170,24.0,136.44,27674
171,32.0,134.44,27674
172,176.0,133.52,27674
173,436.0,135.39,27674
174,136.0,134.07,27674
175,24.0,131.63,28178
176,96.0,129.83,28178
177,104.0,130.71,28178
178,64.0,130.76,28178
179,64.0,130.22,28178
180,8.0,130.06,28178
181,80.0,128.02,28178
182,32.0,127.08,28178
183,32.0,126.99,28178
184,452.0,130.35,28681
185,452.0,132.42,28681
186,192.0,131.26,28681
187,16.0,129.84,28681
188,8.0,128.84,28681
189,16.0,128.6,28681
190,8.0,127.77,28681
191,424.0,131.29,28681
192,8.0,130.73,28681
193,24.0,130.81,29184
194,460.0,132.65,29184
195,8.0,129.33,29184
196,460.0,130.53,29184
197,96.0,131.33,29184
198,72.0,128.65,29184
199,168.0,130.25,29184
200,16.0,126.93,29689
201,128.0,126.14,29689
202,48.0,125.74,29689
203,8.0,125.02,29689
204,88.0,124.94,29689
205,8.0,124.06,29689
206,24.0,123.26,29689
207,88.0,122.92,29689
208,72.0,120.0,29689
209,96.0,120.72,30192
210,208.0,121.0,30192
211,120.0,120.24,30192
212,40.0,119.68,30192
213,48.0,118.2,30192
214,32.0,117.96,30192
215,24.0,116.15,30192
216,184.0,114.91,30192
217,8.0,111.19,30696
218,56.0,110.79,30696
219,88.0,111.59,30696
220,64.0,111.19,30696
221,56.0,111.67,30696
222,112.0,112.39,30696
223,8.0,109.58,30696
224,24.0,109.18,31201
225,24.0,108.94,31201
226,80.0,108.37,31201
227,8.0,105.98,31201
228,16.0,103.17,31201
229,80.0,100.28,31201
230,224.0,98.64,31201
231,427.0,101.71,31706
232,24.0,100.91,31706
233,40.0,99.94,31706
234,72.0,100.34,31706
235,48.0,98.7,32214
236,367.0,98.41,32214
237,80.0,97.85,32214
238,80.0,98.41,32214
239,8.0,97.93,32214
240,112.0,98.49,32214
241,56.0,98.57,32214
242,56.0,98.97,32214
243,56.0,99.45,32214
244,32.0,99.69,32214
245,96.0,100.17,32214
246,48.0,99.03,32715
247,72.0,99.51,32715
248,136.0,100.71,32715
249,72.0,97.31,32715
250,16.0,93.54,33223
251,40.0,93.7,33223
252,48.0,93.14,33223
253,96.0,93.94,33223
254,273.0,96.35,33223
255,152.0,97.55,33223
256,16.0,97.55,33223
257,96.0,98.11,33223
258,72.0,98.19,33223
259,8.0,97.87,33223
260,96.0,98.27,33223
261,8.0,98.27,33724
262,128.0,99.07,33724
263,160.0,100.59,33724
264,136.0,101.39,33724
265,32.0,101.31,34232
266,48.0,100.83,34232
267,32.0,100.67,34232
268,80.0,101.07,34232
269,16.0,96.87,34232
270,8.0,96.71,34232
271,16.0,96.55,34738
272,80.0,95.59,34738
273,24.0,91.47,34738
274,24.0,90.35,34738
275,144.0,91.55,34738
276,40.0,90.99,34738
277,8.0,90.03,35244
278,48.0,89.87,35244
279,64.0,89.87,35244
280,72.0,90.51,35244
281,32.0,90.03,35244
282,48.0,90.19,35244
283,88.0,90.75,35244
284,40.0,86.63,35244
285,16.0,82.27,35244
286,80.0,81.15,35747
287,423.0,85.22,35747
288,216.0,87.3,35747
289,72.0,87.86,35747
290,16.0,87.94,35747
291,80.0,84.5,35747
292,347.0,87.89,35747
293,72.0,88.37,35747
294,24.0,84.01,35747
295,40.0,84.33,36250
296,24.0,79.97,36250
297,16.0,79.17,36250
298,8.0,78.53,36250
299,40.0,77.25,36250
300,16.0,77.25,36250
301,120.0,77.17,36250
302,48.0,77.17,36250
303,88.0,77.97,36250
304,48.0,77.57,36250
305,64.0,78.13,36250
306,32.0,78.21,36250
307,16.0,77.49,36750
308,16.0,76.93,36750
309,56.0,76.53,36750
310,152.0,75.97,37259
311,32.0,75.09,37259
312,104.0,75.73,37259
313,40.0,75.65,37259
314,80.0,76.13,37259
315,337.0,79.26,37259
316,16.0,77.58,37259
317,80.0,78.3,37764
318,40.0,78.14,37764
319,24.0,77.5,37764
320,160.0,78.46,37764
321,8.0,77.98,37764
322,152.0,78.38,37764
323,40.0,78.7,37764
324,104.0,79.5,38269
325,136.0,80.62,38269
326,40.0,80.22,38269
327,152.0,81.66,38269
328,24.0,81.74,38269
329,24.0,81.18,38269
330,24.0,79.18,38775
331,104.0,75.95,38775
332,104.0,76.75,38775
333,144.0,77.79,38775
334,48.0,77.55,38775
335,88.0,77.95,38775
336,72.0,75.0,38775
337,8.0,74.28,38775
338,24.0,73.72,38775
339,8.0,73.72,38775
340,176.0,74.36,39277
341,128.0,75.08,39277
342,8.0,74.6,39277
343,120.0,75.24,39277
344,168.0,76.6,39785
345,16.0,75.8,39785
346,64.0,75.96,39785
347,16.0,75.4,39785
348,8.0,74.12,39785
349,40.0,73.8,39785
350,56.0,74.2,39785
351,16.0,73.96,39785
352,32.0,73.8,39785
353,104.0,73.88,39785
354,200.0,73.15,40287
355,64.0,72.27,40287
356,160.0,73.71,40287
357,8.0,72.83,40287
358,80.0,72.91,40287
359,72.0,73.55,40287
360,24.0,72.83,40287
361,16.0,72.91,40287
362,120.0,72.83,40287
363,40.0,71.63,40287
364,64.0,70.91,40287
365,80.0,71.39,40287
366,8.0,70.99,40787
367,168.0,72.35,40787
368,104.0,72.59,40787
369,72.0,73.15,40787
370,176.0,74.83,40787
371,16.0,74.83,41294
372,88.0,74.91,41294
373,48.0,75.15,41294
374,8.0,74.99,41294
375,48.0,74.03,41294
376,24.0,73.87,41801
377,48.0,74.27,41801
378,88.0,74.67,41801
379,24.0,74.27,41801
380,32.0,73.87,41801
381,8.0,73.63,42308
382,32.0,73.47,42308
383,40.0,72.99,42308
384,16.0,72.75,42308
385,64.0,73.23,42308
386,112.0,73.55,42308
387,120.0,70.52,42308
388,40.0,68.76,42308
389,80.0,68.84,42812
390,80.0,69.48,42812
391,56.0,69.24,42812
392,64.0,66.41,42812
393,96.0,66.65,42812
394,40.0,66.81,42812
395,48.0,66.89,42812
396,32.0,66.97,42812
397,208.0,68.89,42812
398,8.0,68.89,42812
399,32.0,68.81,42812
400,104.0,69.69,42812
401,16.0,68.65,42812
402,32.0,68.49,42812
403,16.0,67.77,43310
404,8.0,67.37,43310
405,32.0,67.05,43310
406,24.0,66.97,43310
407,24.0,67.05,43310
408,8.0,66.97,43310
409,56.0,66.97,43310
410,88.0,66.33,43310
411,8.0,66.09,43814
412,120.0,66.25,43814
413,40.0,66.25,43814
414,24.0,65.69,43814
415,16.0,62.48,43814
416,24.0,62.56,43814
417,16.0,61.92,43814
418,136.0,62.88,43814
419,24.0,62.88,44318
420,32.0,61.6,44318
421,8.0,61.6,44318
422,112.0,61.2,44318
423,112.0,61.92,44318
424,104.0,61.92,44318
425,136.0,61.92,44824
426,24.0,61.76,44824
427,184.0,62.08,44824
428,104.0,62.88,44824
429,168.0,64.32,45332
430,88.0,64.96,45332
431,16.0,64.08,45332
432,88.0,63.92,45332
433,16.0,62.64,45332
434,32.0,62.48,45332
435,48.0,62.08,45332
436,216.0,63.52,45332
437,24.0,63.68,45332
438,48.0,63.92,45835
439,48.0,64.32,45835
440,56.0,63.12,45835
441,56.0,62.4,45835
442,112.0,63.44,45835
443,8.0,62.32,45835
444,40.0,61.04,45835
445,96.0,61.84,45835
446,48.0,61.68,45835
447,24.0,61.76,45835
448,88.0,62.56,45835
449,16.0,62.32,45835
450,16.0,61.92,46335
451,16.0,61.92,46335
452,56.0,62.16,46335
453,96.0,62.08,46335
454,56.0,60.64,46335
455,8.0,60.08,46335
456,80.0,59.28,46335
457,16.0,59.36,46335
458,32.0,58.88,46839
459,24.0,58.4,46839
460,16.0,58.32,46839
461,8.0,58.24,46839
462,16.0,57.2,46839
463,40.0,57.2,46839
464,248.0,59.04,46839
465,32.0,58.56,46839
466,16.0,58.64,46839
467,72.0,57.68,47342
468,176.0,58.4,47342
469,56.0,58.24,47342
470,24.0,56.72,47342
471,8.0,56.64,47342
472,128.0,57.04,47342
473,88.0,57.44,47342
474,96.0,58.32,47342
475,16.0,58.0,47342
476,24.0,58.0,47342
477,8.0,57.6,47342
478,8.0,56.8,47342
479,112.0,57.68,47342
480,160.0,58.96,47342
481,24.0,59.12,47342
482,24.0,59.04,47839
483,8.0,58.72,47839
484,32.0,58.88,47839
485,24.0,58.48,47839
486,40.0,57.76,48347
487,304.0,59.6,48347
488,32.0,59.52,48347
489,16.0,58.88,48347
490,8.0,58.16,48347
491,128.0,58.88,48347
492,72.0,58.96,48347
