Episode,Episode_Return,Episode_Return_smooth,env_step
1,9.0,9.0,512
2,9.0,9.0,512
3,19.0,12.333333333333334,1150
4,19.0,14.0,1150
5,19.0,15.0,1150
6,19.0,15.666666666666666,1150
7,19.0,16.142857142857142,1150
8,19.0,16.5,1150
9,29.0,17.88888888888889,1784
10,29.0,19.0,1784
11,38.0,20.727272727272727,2358
12,38.0,22.166666666666668,2358
13,47.0,24.076923076923077,2932
14,56.0,26.357142857142858,3507
15,56.0,28.333333333333332,3507
16,66.0,30.6875,4145
17,66.0,32.76470588235294,4145
18,66.0,34.611111111111114,4145
19,66.0,36.26315789473684,4145
20,66.0,37.75,4145
21,9.0,36.38095238095238,4716
22,75.0,38.13636363636363,4716
23,75.0,39.73913043478261,4716
24,18.0,38.833333333333336,5289
25,75.0,40.28,5928
26,94.0,42.34615384615385,5928
27,75.0,43.55555555555556,5928
28,103.0,45.67857142857143,6501
29,37.0,45.37931034482759,7076
30,112.0,47.6,7076
31,121.0,49.96774193548387,7650
32,121.0,52.1875,7650
33,130.0,54.54545454545455,8224
34,27.0,53.73529411764706,8224
35,130.0,55.91428571428571,8224
36,130.0,57.97222222222222,8224
37,101.0,59.13513513513514,8796
38,139.0,61.23684210526316,8796
39,54.0,61.05128205128205,9370
40,148.0,63.225,9370
41,138.0,65.04878048780488,9944
42,157.0,67.23809523809524,9944
43,166.0,69.53488372093024,10518
44,100.0,70.22727272727273,10518
45,176.0,72.57777777777778,11156
46,176.0,74.82608695652173,11156
47,186.0,77.19148936170212,11794
48,195.0,79.64583333333333,12369
49,204.0,82.18367346938776,12944
50,65.0,81.84,13519
51,18.0,80.58823529411765,14094
52,65.0,80.28846153846153,14669
53,242.0,83.33962264150944,15372
54,130.0,84.20370370370371,15372
55,177.0,85.89090909090909,16010
56,233.0,88.51785714285714,16010
57,261.0,91.54385964912281,16584
58,261.0,94.46551724137932,16584
59,205.0,96.33898305084746,16584
60,176.0,97.66666666666667,17157
61,93.0,97.59016393442623,17732
62,122.0,97.98387096774194,18307
63,140.0,98.65079365079364,18882
64,46.0,97.828125,19521
65,278.0,100.6,20096
66,325.0,104.0,20671
67,195.0,105.35820895522389,20671
68,250.0,107.48529411764706,21245
69,9.0,106.05797101449275,21245
70,129.0,106.38571428571429,21755
71,8.0,105.0,22266
72,359.0,108.52777777777777,22841
73,368.0,112.08219178082192,23416
74,135.0,112.39189189189189,23991
75,330.0,115.29333333333334,23991
76,386.0,118.85526315789474,24565
77,239.0,120.41558441558442,25204
78,377.0,123.7051282051282,25204
79,367.0,126.78481012658227,25204
80,38.0,125.675,25841
81,146.0,125.92592592592592,26480
82,230.0,127.1951219512195,27055
83,435.0,130.90361445783134,27694
84,296.0,132.86904761904762,27694
85,101.0,132.49411764705883,27694
86,369.0,135.24418604651163,27694
87,443.0,138.7816091954023,28202
88,453.0,142.35227272727272,28841
89,453.0,145.8426966292135,28841
90,57.0,144.85555555555555,28841
91,137.0,144.76923076923077,28841
92,155.0,144.8804347826087,29413
93,351.0,147.09677419354838,30052
94,193.0,147.58510638297872,30627
95,64.0,146.70526315789473,31138
96,369.0,149.02083333333334,31777
97,500.0,152.63917525773195,31840
98,500.0,156.18367346938774,31840
99,500.0,159.65656565656565,31840
100,500.0,163.06,31840
101,500.0,167.97,31840
102,500.0,172.88,31840
103,500.0,177.69,31840
104,500.0,182.5,31840
105,500.0,187.31,31840
106,500.0,192.12,31840
107,500.0,196.93,31840
108,500.0,201.74,31840
109,500.0,206.45,31840
110,500.0,211.16,31840
111,500.0,215.78,32416
112,248.0,217.88,32416
113,9.0,217.5,32416
114,500.0,221.94,32416
115,18.0,221.56,32990
116,500.0,225.9,33053
117,500.0,230.24,33693
118,123.0,230.81,33693
119,30.0,230.45,34332
120,39.0,230.18,34332
121,410.0,234.19,34970
122,500.0,238.44,35417
123,500.0,242.69,36057
124,462.0,247.13,36569
125,500.0,251.38,36632
126,131.0,251.75,37208
127,94.0,251.94,37847
128,95.0,251.86,37847
129,500.0,256.49,37847
130,75.0,256.12,38485
131,10.0,255.01,38485
132,65.0,254.45,38485
133,362.0,256.77,39122
134,133.0,257.83,39122
135,500.0,261.53,39568
136,81.0,261.04,40144
137,500.0,265.03,40144
138,500.0,268.64,40144
139,26.0,268.36,40144
140,196.0,268.84,40718
141,82.0,268.28,41293
142,500.0,271.71,41293
143,271.0,272.76,41293
144,436.0,276.12,41931
145,63.0,274.99,42506
146,241.0,275.64,43081
147,167.0,275.45,43081
148,500.0,278.5,43081
149,500.0,281.46,43081
150,37.0,281.18,43655
151,335.0,284.35,43655
152,165.0,285.35,44229
153,18.0,283.11,44804
154,241.0,284.22,45443
155,443.0,286.88,46018
156,233.0,286.88,46018
157,278.0,287.05,46592
158,500.0,289.44,46592
159,241.0,289.8,47231
160,74.0,288.78,47231
161,416.0,292.01,47231
162,345.0,294.24,47231
163,500.0,297.84,47291
164,136.0,298.74,47803
165,500.0,300.96,47930
166,384.0,301.55,48506
167,500.0,304.6,48506
168,176.0,303.86,49081
169,102.0,304.79,49592
170,46.0,303.96,50167
171,360.0,307.48,50678
172,500.0,308.89,50805
173,185.0,307.06,51381
174,276.0,308.47,51956
175,325.0,308.42,52595
176,84.0,305.4,52595
177,55.0,303.56,52595
178,316.0,302.95,52595
179,500.0,304.28,53167
180,185.0,305.75,53743
181,10.0,304.39,54382
182,131.0,303.4,54382
183,500.0,304.05,54764
184,54.0,301.63,55404
185,119.0,301.81,55404
186,461.0,302.73,55914
187,500.0,303.3,56489
188,134.0,300.11,57065
189,433.0,299.91,57065
190,500.0,304.34,57127
191,470.0,307.67,57703
192,396.0,310.08,58342
193,415.0,310.72,58342
194,471.0,313.5,58916
195,229.0,315.15,59427
196,500.0,316.46,59618
197,296.0,314.42,60194
198,75.0,310.17,60194
199,38.0,305.55,60768
200,128.0,301.83,60768
201,500.0,301.83,60768
202,9.0,296.92,61342
203,389.0,295.81,62045
204,104.0,291.85,62045
205,212.0,288.97,62045
206,398.0,287.95,62045
207,156.0,284.51,62553
208,361.0,283.12,63192
209,500.0,283.12,63767
210,500.0,283.12,63767
211,500.0,283.12,63767
212,248.0,283.12,63767
213,500.0,288.03,63767
214,500.0,288.03,63767
215,500.0,292.85,63767
216,500.0,292.85,63767
217,94.0,288.79,64342
218,500.0,292.56,64342
219,268.0,294.94,64342
220,500.0,299.55,64916
221,390.0,299.35,65620
222,455.0,298.9,65620
223,20.0,294.1,65620
224,29.0,289.77,65620
225,31.0,285.08,66320
226,67.0,284.44,66320
227,410.0,287.6,66320
228,40.0,287.05,66320
229,434.0,286.39,66828
230,500.0,290.64,67339
231,289.0,293.43,68043
232,391.0,296.69,68043
233,214.0,295.21,68043
234,49.0,294.37,68043
235,242.0,291.79,68615
236,85.0,291.83,69190
237,400.0,290.83,69765
238,500.0,290.83,69765
239,363.0,294.2,70404
240,500.0,297.24,70404
241,64.0,297.06,70404
242,64.0,292.7,70404
243,133.0,291.32,71041
244,218.0,289.14,71041
245,19.0,288.7,71615
246,123.0,287.52,71615
247,500.0,290.85,72061
248,500.0,290.85,72061
249,138.0,287.23,72573
250,71.0,287.57,73148
251,242.0,286.64,73148
252,500.0,289.99,73210
253,204.0,291.85,73786
254,139.0,290.83,74489
255,128.0,287.68,74489
256,244.0,287.79,74999
257,500.0,290.01,74999
258,500.0,290.01,74999
259,47.0,288.07,75574
260,500.0,292.33,75574
261,298.0,291.15,76085
262,156.0,289.26,76788
263,56.0,284.82,76788
264,500.0,288.46,77362
265,500.0,288.46,77938
266,118.0,285.8,77938
267,500.0,285.8,78513
268,258.0,286.62,78513
269,500.0,290.6,78513
270,435.0,294.49,79152
271,94.0,291.83,79152
272,500.0,291.83,79214
273,261.0,292.59,79854
274,11.0,289.94,79854
275,328.0,289.97,79854
276,47.0,289.6,80363
277,373.0,292.78,80874
278,92.0,290.54,81449
279,500.0,290.54,82088
280,287.0,291.56,82088
281,111.0,292.57,82088
282,314.0,294.4,82088
283,500.0,294.4,82597
284,500.0,298.86,82725
285,130.0,298.97,83301
286,221.0,296.57,83301
287,75.0,292.32,83301
288,438.0,295.36,83874
289,132.0,292.35,84513
290,140.0,288.75,84513
291,500.0,289.05,84513
292,500.0,290.09,84513
293,258.0,288.52,84513
294,82.0,284.63,85086
295,185.0,284.19,85597
296,379.0,282.98,86236
297,111.0,281.13,86236
298,229.0,282.67,86236
299,258.0,284.87,86236
300,500.0,288.59,86296
301,500.0,288.59,86680
302,11.0,288.61,87384
303,91.0,285.63,87895
304,500.0,289.59,88406
305,174.0,289.21,89046
306,71.0,285.94,89046
307,387.0,288.25,89046
308,300.0,287.64,89555
309,358.0,286.22,90194
310,192.0,283.14,90769
311,28.0,278.42,91344
312,500.0,280.94,91535
313,268.0,278.62,92111
314,500.0,278.62,92111
315,500.0,278.62,92111
316,156.0,275.18,92686
317,500.0,279.24,92686
318,193.0,276.17,92686
319,500.0,278.49,93260
320,36.0,273.85,93836
321,156.0,271.51,94475
322,46.0,267.42,95050
323,37.0,267.59,95050
324,212.0,269.42,95624
325,500.0,274.11,95687
326,500.0,278.44,95687
327,10.0,274.44,96327
328,342.0,277.46,96327
329,406.0,277.18,96327
330,30.0,272.48,96964
331,10.0,269.69,96964
332,500.0,270.78,97538
333,500.0,273.64,97538
334,151.0,274.66,97538
335,500.0,277.24,97538
336,84.0,277.23,98049
337,500.0,278.23,98240
338,12.0,273.35,98816
339,49.0,270.21,99455
340,500.0,270.21,99966
341,500.0,274.57,99966
342,500.0,278.93,99966
343,355.0,281.15,100606
344,464.0,283.61,101245
345,335.0,286.77,101245
346,383.0,289.37,101245
347,500.0,289.37,101690
348,252.0,286.89,102330
349,500.0,290.51,102969
350,500.0,294.8,102969
351,85.0,293.23,102969
352,281.0,291.04,103544
353,500.0,294.0,103991
354,500.0,297.61,103991
355,109.0,297.42,104503
356,118.0,296.16,105078
357,24.0,291.4,105078
358,500.0,291.4,105078
359,148.0,292.41,105780
360,177.0,289.18,105780
361,129.0,287.49,105780
362,333.0,289.26,105780
363,204.0,290.74,106288
364,500.0,290.74,106415
365,282.0,288.56,107055
366,111.0,288.49,107055
367,189.0,285.38,107757
368,169.0,284.49,107757
369,51.0,280.0,108331
370,446.0,280.11,108331
371,500.0,284.17,108713
372,109.0,280.26,109289
373,278.0,280.43,109864
374,500.0,285.32,110439
375,317.0,285.21,111015
376,500.0,289.74,111142
377,446.0,290.47,111782
378,21.0,289.76,111782
379,105.0,285.81,111782
380,408.0,287.02,112355
381,500.0,290.91,112802
382,500.0,292.77,113378
383,295.0,290.72,113890
384,500.0,290.72,114017
385,500.0,294.42,114017
386,500.0,297.21,114529
387,190.0,298.36,115105
388,264.0,296.62,115105
389,157.0,296.87,115105
390,500.0,300.47,115230
391,500.0,300.47,115230
392,489.0,300.36,115742
393,500.0,302.78,115805
394,500.0,306.96,116445
395,500.0,310.11,117021
396,411.0,310.43,117597
397,194.0,311.26,118172
398,500.0,313.97,118172
399,500.0,316.39,118172
400,500.0,316.39,118172
401,223.0,313.62,118747
402,195.0,315.46,118747
403,500.0,319.55,119321
404,28.0,314.83,119961
405,500.0,318.09,120344
406,375.0,321.13,120920
407,500.0,322.26,120983
408,500.0,324.26,120983
409,318.0,323.86,121559
410,500.0,326.94,122134
411,117.0,327.83,122710
412,63.0,323.46,123349
413,245.0,323.23,123988
414,500.0,323.23,124051
415,500.0,323.23,124627
416,275.0,324.42,124627
417,77.0,320.19,125266
418,195.0,320.21,125266
419,500.0,320.21,125776
420,392.0,323.77,126288
421,236.0,324.57,126863
422,421.0,328.32,126863
423,147.0,329.42,127565
424,138.0,328.68,127565
425,500.0,328.68,127565
426,54.0,324.22,128075
427,52.0,324.64,128586
428,45.0,321.67,129161
429,69.0,318.3,129672
430,108.0,319.08,130247
431,500.0,323.98,130758
432,10.0,319.08,131398
433,500.0,319.08,131398
434,145.0,319.02,131398
435,255.0,316.57,131398
436,500.0,320.73,131907
437,500.0,320.73,132547
438,500.0,325.61,133187
439,500.0,330.12,133635
440,36.0,325.48,134211
441,414.0,324.62,134211
442,454.0,324.16,134785
443,500.0,325.61,134912
444,500.0,325.97,134912
445,465.0,327.27,135488
446,500.0,328.44,135935
447,500.0,328.44,135935
448,81.0,326.73,136575
449,91.0,322.64,137214
450,151.0,319.15,137214
451,500.0,323.3,137724
452,500.0,325.49,138364
453,225.0,322.74,138364
454,381.0,321.55,138364
455,245.0,322.91,138364
456,500.0,326.73,139001
457,29.0,326.78,139577
458,498.0,326.76,139577
459,46.0,325.74,140151
460,500.0,328.97,140278
461,500.0,332.68,140662
462,500.0,334.35,141238
463,128.0,333.59,141814
464,500.0,333.59,141814
465,102.0,331.79,142453
466,437.0,335.05,142453
467,500.0,338.16,142963
468,500.0,341.47,143091
469,137.0,342.33,143667
470,500.0,342.87,143730
471,500.0,342.87,143730
472,500.0,346.78,144306
473,374.0,347.74,144882
474,456.0,347.3,144882
475,120.0,345.33,144882
476,500.0,345.33,145327
477,500.0,345.87,145839
478,500.0,350.66,145967
479,44.0,350.05,146543
480,500.0,350.97,147054
481,500.0,350.97,147054
482,500.0,350.97,147182
483,410.0,352.12,147758
484,500.0,352.12,147758
485,317.0,350.29,148333
486,54.0,345.83,148333
487,500.0,348.93,148395
488,500.0,351.29,148971
489,19.0,349.91,148971
490,500.0,349.91,149546
491,91.0,345.82,150122
