Episode,Episode_Return,Episode_Return_smooth,env_step
1,9.0,9.0,512
2,19.0,14.0,1151
3,19.0,15.666666666666666,1151
4,19.0,16.5,1151
5,19.0,17.0,1151
6,29.0,19.0,1787
7,37.0,21.571428571428573,2298
8,46.0,24.625,2873
9,46.0,27.0,2873
10,46.0,28.9,2873
11,54.0,31.181818181818183,3382
12,54.0,33.083333333333336,3382
13,63.0,35.38461538461539,3956
14,63.0,37.357142857142854,3956
15,72.0,39.666666666666664,4530
16,72.0,41.6875,4530
17,72.0,43.470588235294116,4530
18,18.0,42.05555555555556,4530
19,80.0,44.05263157894737,5038
20,89.0,46.3,5613
21,51.0,46.523809523809526,6124
22,86.0,48.31818181818182,6635
23,114.0,51.17391304347826,7210
24,78.0,52.291666666666664,7849
25,124.0,55.16,7849
26,124.0,57.80769230769231,7849
27,124.0,60.25925925925926,7849
28,133.0,62.857142857142854,8421
29,142.0,65.58620689655173,8996
30,151.0,68.43333333333334,9571
31,161.0,71.41935483870968,10210
32,170.0,74.5,10785
33,170.0,77.39393939393939,10785
34,46.0,76.47058823529412,10785
35,179.0,79.4,11358
36,179.0,82.16666666666667,11358
37,188.0,85.02702702702703,11932
38,197.0,87.97368421052632,12507
39,197.0,90.76923076923077,12507
40,125.0,91.625,12507
41,205.0,94.39024390243902,13016
42,214.0,97.23809523809524,13591
43,17.0,95.37209302325581,13591
44,90.0,95.25,13591
45,224.0,98.11111111111111,14228
46,54.0,97.15217391304348,14803
47,170.0,98.70212765957447,14803
48,243.0,101.70833333333333,15441
49,101.0,101.6938775510204,15441
50,146.0,102.58,15441
51,243.0,105.33333333333333,15441
52,243.0,107.98076923076923,15441
53,252.0,110.69811320754717,16012
54,260.0,113.46296296296296,16523
55,240.0,115.76363636363637,17098
56,241.0,118.0,17673
57,259.0,120.47368421052632,17673
58,28.0,118.87931034482759,18311
59,28.0,117.33898305084746,18886
60,306.0,120.48333333333333,19461
61,234.0,122.34426229508196,19461
62,306.0,125.30645161290323,19461
63,306.0,128.17460317460316,20034
64,145.0,128.4375,20034
65,9.0,126.6,20034
66,323.0,129.57575757575756,20543
67,119.0,129.4179104477612,21182
68,118.0,129.25,21757
69,64.0,128.30434782608697,21757
70,342.0,131.35714285714286,21757
71,108.0,131.0281690140845,22330
72,305.0,133.44444444444446,22330
73,361.0,136.56164383561645,22968
74,28.0,135.09459459459458,22968
75,256.0,136.70666666666668,23542
76,360.0,139.64473684210526,24117
77,9.0,137.94805194805195,24692
78,388.0,141.15384615384616,24692
79,343.0,143.70886075949366,25266
80,406.0,146.9875,25841
81,343.0,149.40740740740742,26416
82,181.0,149.79268292682926,26991
83,109.0,149.3012048192771,26991
84,424.0,152.57142857142858,26991
85,424.0,155.76470588235293,26991
86,8.0,154.04651162790697,27499
87,308.0,155.816091954023,27499
88,90.0,155.0681818181818,28073
89,152.0,155.03370786516854,28584
90,216.0,155.7111111111111,28584
91,449.0,158.93406593406593,28584
92,70.0,157.9673913043478,29157
93,61.0,156.9247311827957,29157
94,17.0,155.43617021276594,29667
95,160.0,155.4842105263158,29667
96,27.0,154.14583333333334,30305
97,485.0,157.55670103092783,30880
98,288.0,158.8877551020408,30880
99,28.0,157.56565656565655,31454
100,152.0,157.51,31454
101,500.0,162.42,31836
102,500.0,167.23,31836
103,500.0,172.04,31836
104,500.0,176.85,31836
105,500.0,181.66,31836
106,500.0,186.37,31836
107,500.0,191.0,31836
108,500.0,195.54,31836
109,500.0,200.08,31836
110,500.0,204.62,31836
111,500.0,209.08,31836
112,385.0,212.39,32412
113,438.0,216.14,32987
114,77.0,216.28,32987
115,18.0,215.74,32987
116,500.0,220.02,33048
117,286.0,222.16,33688
118,105.0,223.03,33688
119,105.0,223.28,33688
120,29.0,222.68,33688
121,178.0,223.95,33688
122,225.0,225.34,34387
123,40.0,224.6,34387
124,11.0,223.93,34387
125,22.0,222.91,34387
126,179.0,223.46,34387
127,21.0,222.43,34387
128,397.0,225.07,34893
129,253.0,226.18,35596
130,59.0,225.26,35596
131,345.0,227.1,35596
132,500.0,230.4,35849
133,71.0,229.41,36361
134,71.0,229.66,36361
135,500.0,232.87,36423
136,87.0,231.95,36999
137,329.0,233.36,36999
138,500.0,236.39,37509
139,70.0,235.12,38149
140,276.0,236.63,38149
141,105.0,235.63,38149
142,500.0,238.49,38530
143,75.0,239.07,39170
144,106.0,239.23,39170
145,124.0,238.23,39744
146,254.0,240.23,39744
147,106.0,239.59,39744
148,175.0,238.91,40317
149,390.0,241.8,40317
150,500.0,245.34,40317
151,71.0,243.62,40891
152,61.0,241.8,40891
153,157.0,240.85,40891
154,327.0,241.52,40891
155,52.0,239.64,41463
156,27.0,237.5,41463
157,463.0,239.54,42037
158,500.0,244.26,42100
159,500.0,248.98,42676
160,500.0,250.92,42676
161,500.0,253.58,43252
162,500.0,255.52,43828
163,73.0,253.19,43828
164,410.0,255.84,44467
165,500.0,260.75,44914
166,80.0,258.32,45426
167,500.0,262.13,45489
168,81.0,261.76,46065
169,500.0,266.12,46704
170,243.0,265.13,47344
171,29.0,264.34,47344
172,311.0,264.4,47344
173,500.0,265.79,47344
174,171.0,267.22,47344
175,47.0,265.13,47916
176,92.0,262.45,48555
177,200.0,264.36,49130
178,500.0,265.48,49577
179,45.0,262.5,50217
180,288.0,261.32,50217
181,248.0,260.37,50217
182,9.0,258.65,50790
183,418.0,261.74,51365
184,92.0,258.42,51940
185,366.0,257.84,51940
186,136.0,259.12,52514
187,136.0,257.4,53153
188,500.0,261.5,53664
189,237.0,262.35,53664
190,500.0,265.19,53664
191,437.0,265.07,54303
192,500.0,269.37,54878
193,19.0,268.95,54878
194,404.0,272.82,55453
195,18.0,271.4,55453
196,341.0,274.54,55453
197,18.0,269.87,56026
198,145.0,268.44,56601
199,46.0,268.62,56601
200,246.0,269.56,57175
201,365.0,268.21,57686
202,500.0,268.21,57749
203,396.0,267.17,58261
204,490.0,267.07,58772
205,500.0,267.07,58899
206,28.0,262.35,59539
207,375.0,261.1,59539
208,403.0,260.13,60113
209,393.0,259.06,60688
210,500.0,259.06,61071
211,308.0,257.14,61711
212,500.0,258.29,62222
213,396.0,257.87,62798
214,500.0,262.1,62798
215,9.0,262.01,63373
216,9.0,257.1,63373
217,500.0,259.24,63755
218,500.0,263.19,63755
219,377.0,265.91,64395
220,405.0,269.67,65034
221,500.0,272.89,65609
222,500.0,275.64,65609
223,480.0,280.04,66249
224,81.0,280.74,66249
225,169.0,282.21,66249
226,215.0,282.57,66249
227,500.0,287.36,66309
228,500.0,288.39,66309
229,500.0,290.86,66821
230,153.0,291.8,67461
231,500.0,293.35,67780
232,266.0,291.01,68356
233,500.0,295.3,68931
234,338.0,297.97,68931
235,123.0,294.2,69570
236,492.0,298.25,69570
237,249.0,297.45,69570
238,500.0,297.45,70079
239,79.0,297.54,70655
240,339.0,298.17,71230
241,141.0,298.53,71230
242,500.0,298.53,71676
243,500.0,302.78,71676
244,500.0,306.72,72252
245,500.0,310.48,72828
246,500.0,312.94,72828
247,500.0,316.88,72828
248,500.0,320.13,73404
249,500.0,321.23,74044
250,500.0,321.23,74620
251,179.0,322.31,75196
252,500.0,326.7,75196
253,500.0,330.13,75771
254,149.0,328.35,75771
255,107.0,328.9,76410
256,66.0,329.29,77049
257,500.0,329.66,77368
258,125.0,325.91,78072
259,116.0,322.07,78072
260,36.0,317.43,78072
261,152.0,313.95,78645
262,500.0,313.95,78645
263,462.0,317.84,78645
264,151.0,315.25,79219
265,500.0,315.25,79282
266,500.0,319.45,79282
267,500.0,319.45,79858
268,221.0,320.85,80370
269,500.0,320.85,80497
270,483.0,323.25,81073
271,374.0,326.7,81073
272,56.0,324.15,81647
273,500.0,324.15,82158
274,500.0,327.44,82734
275,437.0,331.34,83374
276,500.0,335.42,83885
277,500.0,338.42,83885
278,155.0,334.97,84525
279,315.0,337.67,84525
280,500.0,339.79,85099
281,120.0,338.51,85739
282,315.0,341.57,85739
283,420.0,341.59,86377
284,500.0,345.67,86824
285,500.0,347.01,87400
286,500.0,350.65,87976
287,500.0,354.29,88552
288,500.0,354.29,88552
289,84.0,352.76,89256
290,266.0,350.42,89256
291,29.0,346.34,89256
292,168.0,343.02,90021
293,123.0,344.06,90021
294,269.0,342.71,90021
295,500.0,347.53,90210
296,500.0,349.12,90722
297,500.0,353.94,90850
298,500.0,357.49,91490
299,500.0,362.03,92066
300,380.0,363.37,92066
301,500.0,364.72,92641
302,51.0,360.23,93281
303,84.0,357.11,93920
304,127.0,353.48,94495
305,412.0,352.6,95262
306,493.0,357.25,95262
307,79.0,354.29,95262
308,50.0,350.76,95262
309,241.0,349.24,95262
310,500.0,349.24,95321
311,500.0,351.16,95321
312,464.0,350.8,95897
313,333.0,350.17,96472
314,500.0,350.17,96983
315,189.0,351.97,97815
316,81.0,352.69,97815
317,262.0,350.31,97815
318,500.0,350.31,98196
319,500.0,351.54,98260
320,500.0,352.49,98260
321,500.0,352.49,98772
322,135.0,348.84,99348
323,500.0,349.04,99411
324,10.0,348.33,99987
325,500.0,351.64,100306
326,287.0,352.36,101074
327,500.0,352.36,101521
328,460.0,351.96,102225
329,224.0,349.2,102864
330,500.0,352.67,103183
331,500.0,352.67,103183
332,500.0,355.01,103631
333,500.0,355.01,103631
334,141.0,353.04,104271
335,403.0,355.84,104974
336,500.0,355.92,105357
337,500.0,358.43,105997
338,82.0,354.25,106765
339,500.0,358.46,107148
340,500.0,360.07,107724
341,217.0,360.83,108364
342,500.0,360.83,108364
343,495.0,360.78,109003
344,500.0,360.78,109003
345,246.0,358.24,109003
346,226.0,355.5,109705
347,320.0,353.7,109705
348,500.0,353.7,110023
349,500.0,353.7,110599
350,500.0,353.7,110599
351,426.0,356.17,110599
352,500.0,356.17,110599
353,500.0,356.17,111238
354,65.0,355.33,111878
355,500.0,359.26,112325
356,500.0,363.6,112453
357,500.0,363.6,113029
358,500.0,367.35,113605
359,448.0,370.67,114373
360,268.0,372.99,114948
361,270.0,374.17,115523
362,500.0,374.17,115842
363,500.0,374.55,116482
364,500.0,378.04,116482
365,500.0,378.04,117058
366,111.0,374.15,117698
367,239.0,371.54,118465
368,500.0,374.33,118784
369,199.0,371.32,119488
370,500.0,371.49,119935
371,97.0,368.72,120575
372,500.0,373.16,121214
373,500.0,373.16,121214
374,202.0,370.18,121918
375,500.0,370.81,121981
376,500.0,370.81,121981
377,24.0,366.05,122749
378,299.0,367.49,122749
379,500.0,369.34,122811
380,226.0,366.6,123451
381,500.0,370.4,123451
382,500.0,372.25,124026
383,140.0,369.45,124794
384,45.0,364.9,124794
385,230.0,362.2,125304
386,500.0,362.2,125879
387,360.0,360.8,126647
388,500.0,360.8,127222
389,500.0,364.96,127222
390,500.0,367.3,127222
391,500.0,372.01,127286
392,500.0,375.33,127286
393,500.0,379.1,127862
394,500.0,381.41,128438
395,500.0,381.41,128950
396,29.0,376.7,129718
397,500.0,376.7,129781
398,500.0,376.7,129781
399,500.0,376.7,130165
400,500.0,377.9,130229
401,500.0,377.9,130741
402,500.0,382.39,131381
403,65.0,382.2,131381
404,233.0,383.26,131381
405,500.0,384.14,131955
406,500.0,384.21,132275
407,17.0,383.59,133043
408,500.0,388.09,133043
409,11.0,385.79,133746
410,500.0,385.79,134193
411,500.0,385.79,134833
412,500.0,386.15,135153
413,370.0,386.52,135985
414,500.0,386.52,136240
415,266.0,387.29,136944
416,500.0,391.48,136944
417,500.0,393.86,137327
418,500.0,393.86,137967
419,178.0,390.64,138671
420,500.0,390.64,139118
421,471.0,390.35,139822
422,500.0,394.0,140333
423,500.0,394.0,140333
424,500.0,398.9,140973
425,500.0,398.9,141677
426,500.0,401.03,141997
427,500.0,401.03,142573
428,500.0,401.43,142573
429,500.0,404.19,143213
430,500.0,404.19,143853
431,500.0,404.19,144429
432,500.0,404.19,145005
433,500.0,404.19,145581
434,458.0,407.36,146349
435,500.0,408.33,146924
436,278.0,406.11,147500
437,500.0,406.11,147500
438,176.0,407.05,148203
439,500.0,407.05,148458
440,104.0,403.09,149226
441,500.0,405.92,149673
442,500.0,405.92,150441
443,500.0,405.97,150761
444,500.0,405.97,151465
445,494.0,408.45,152169
446,401.0,410.2,152872
447,500.0,412.0,153191
448,466.0,411.66,153831
449,500.0,411.66,153958
450,500.0,411.66,153958
451,500.0,412.4,154726
452,500.0,412.4,154726
453,500.0,412.4,154790
454,500.0,416.75,155430
455,401.0,415.76,155430
456,500.0,415.76,155430
457,223.0,412.99,156261
458,500.0,412.99,156772
459,500.0,413.51,156772
460,500.0,415.83,157284
461,500.0,418.13,157860
462,172.0,414.85,158500
463,500.0,414.85,158627
464,500.0,414.85,159203
465,500.0,414.85,159267
466,13.0,413.87,160035
467,500.0,416.48,160418
468,500.0,416.48,160930
469,500.0,419.49,161762
470,500.0,419.49,162146
471,500.0,423.52,162210
472,500.0,423.52,162722
473,500.0,423.52,163362
474,500.0,426.5,163362
475,500.0,426.5,163362
476,500.0,426.5,164258
477,500.0,431.26,165026
478,500.0,433.27,165730
479,500.0,433.27,166178
480,500.0,436.01,166818
481,500.0,436.01,167138
482,500.0,436.01,167970
483,500.0,439.61,168226
484,500.0,444.16,168930
485,500.0,446.86,169314
486,500.0,446.86,169954
487,500.0,448.26,170658
488,500.0,448.26,171106
489,500.0,448.26,171810
490,500.0,448.26,172322
491,500.0,448.26,172322
492,500.0,448.26,172962
493,500.0,448.26,173666
494,500.0,448.26,174562
495,480.0,448.06,174562
496,500.0,452.77,175201
497,222.0,449.99,175969
498,500.0,449.99,176416
499,500.0,449.99,176992
500,500.0,449.99,177568
501,500.0,449.99,178336
502,500.0,449.99,178912
503,500.0,454.34,179488
504,500.0,457.01,180192
505,500.0,457.01,180448
506,289.0,454.9,181216
507,500.0,459.73,181216
508,500.0,459.73,181663
509,500.0,464.62,182431
510,500.0,464.62,182751
511,500.0,464.62,183455
512,500.0,464.62,184159
513,500.0,465.92,184863
514,500.0,465.92,185183
515,500.0,468.26,185823
516,500.0,468.26,185951
517,500.0,468.26,185951
518,500.0,468.26,186719
519,500.0,471.48,186719
520,460.0,471.08,186719
521,500.0,471.37,186782
522,500.0,471.37,187422
523,500.0,471.37,187422
524,500.0,471.37,187422
525,500.0,471.37,188254
