Episode,Episode_Return,Episode_Return_smooth,env_step
1,9.0,9.0,512
2,9.0,9.0,512
3,18.0,12.0,1086
4,27.0,15.75,1661
5,36.0,19.8,2236
6,36.0,22.5,2236
7,44.0,25.571428571428573,2746
8,43.0,27.75,3257
9,60.0,31.333333333333332,3768
10,69.0,35.1,4343
11,77.0,38.90909090909091,4854
12,85.0,42.75,5365
13,34.0,42.07692307692308,5940
14,94.0,45.785714285714285,5940
15,94.0,49.0,5940
16,103.0,52.375,6513
17,103.0,55.35294117647059,6513
18,111.0,58.44444444444444,7023
19,67.0,58.89473684210526,7534
20,129.0,62.4,8173
21,129.0,65.57142857142857,8173
22,129.0,68.45454545454545,8173
23,44.0,67.3913043478261,8173
24,60.0,67.08333333333333,8173
25,129.0,69.56,8173
26,129.0,71.84615384615384,8173
27,129.0,73.96296296296296,8173
28,138.0,76.25,8741
29,138.0,78.37931034482759,8741
30,52.0,77.5,9251
31,155.0,80.0,9826
32,36.0,78.625,9826
33,155.0,80.93939393939394,9826
34,155.0,83.11764705882354,9826
35,35.0,81.74285714285715,10398
36,164.0,84.02777777777777,10398
37,26.0,82.45945945945945,10398
38,173.0,84.84210526315789,10971
39,173.0,87.1025641025641,10971
40,26.0,85.575,11481
41,190.0,88.1219512195122,12056
42,199.0,90.76190476190476,12631
43,114.0,91.30232558139535,13206
44,27.0,89.8409090909091,13206
45,208.0,92.46666666666667,13206
46,35.0,91.21739130434783,13206
47,181.0,93.12765957446808,13778
48,217.0,95.70833333333333,13778
49,53.0,94.83673469387755,13778
50,18.0,93.3,13778
51,71.0,92.86274509803921,13778
52,217.0,95.25,13778
53,9.0,93.62264150943396,13778
54,225.0,96.05555555555556,14283
55,225.0,98.4,14283
56,233.0,100.80357142857143,14793
57,25.0,99.47368421052632,14793
58,233.0,101.77586206896552,14793
59,33.0,100.61016949152543,15302
60,138.0,101.23333333333333,15302
61,249.0,103.65573770491804,15812
62,222.0,105.56451612903226,15812
63,84.0,105.22222222222223,16322
64,93.0,105.03125,16322
65,257.0,107.36923076923077,16322
66,265.0,109.75757575757575,16831
67,40.0,108.71641791044776,16831
68,16.0,107.3529411764706,16831
69,273.0,109.7536231884058,17340
70,273.0,112.08571428571429,17340
71,281.0,114.46478873239437,17850
72,281.0,116.77777777777777,17850
73,56.0,115.94520547945206,18360
74,24.0,114.70270270270271,18360
75,297.0,117.13333333333334,18870
76,297.0,119.5,18870
77,8.0,118.05194805194805,18870
78,56.0,117.25641025641026,18870
79,269.0,119.17721518987342,19378
80,158.0,119.6625,19889
81,105.0,119.48148148148148,19889
82,16.0,118.21951219512195,19889
83,313.0,120.56626506024097,19889
84,321.0,122.95238095238095,20397
85,72.0,122.3529411764706,20397
86,88.0,121.95348837209302,20907
87,200.0,122.85057471264368,20907
88,329.0,125.19318181818181,20907
89,48.0,124.32584269662921,20907
90,32.0,123.3,20907
91,16.0,122.12087912087912,21414
92,80.0,121.66304347826087,21414
93,8.0,120.44086021505376,21414
94,120.0,120.43617021276596,21414
95,104.0,120.26315789473684,21414
96,345.0,122.60416666666667,21921
97,72.0,122.08247422680412,21921
98,345.0,124.35714285714286,21921
99,207.0,125.1919191919192,21921
100,88.0,124.82,22429
101,88.0,125.61,22429
102,32.0,125.84,22429
103,353.0,129.19,22429
104,48.0,129.4,22429
105,136.0,130.4,22429
106,361.0,133.65,22935
107,144.0,134.65,22935
108,361.0,137.83,22935
109,8.0,137.31,22935
110,16.0,136.78,22935
111,48.0,136.49,22935
112,232.0,137.96,22935
113,8.0,137.7,22935
114,48.0,137.24,22935
115,152.0,137.82,23438
116,32.0,137.11,23438
117,144.0,137.52,23438
118,16.0,136.57,23438
119,16.0,136.06,23946
120,120.0,135.97,23946
121,64.0,135.32,23946
122,333.0,137.36,23946
123,266.0,139.58,23946
124,283.0,141.81,23946
125,48.0,141.0,23946
126,40.0,140.11,23946
127,377.0,142.59,23946
128,168.0,142.89,24449
129,48.0,141.99,24449
130,24.0,141.71,24449
131,16.0,140.32,24449
132,256.0,142.52,24449
133,8.0,141.05,24449
134,32.0,139.82,24955
135,8.0,139.55,24955
136,264.0,140.55,24955
137,316.0,143.45,24955
138,176.0,143.48,24955
139,393.0,145.68,24955
140,24.0,145.66,24955
141,48.0,144.24,24955
142,8.0,142.33,25459
143,72.0,141.91,25459
144,40.0,142.04,25459
145,24.0,140.2,25459
146,88.0,140.73,25459
147,48.0,139.4,25459
148,272.0,139.95,25459
149,72.0,140.14,25459
150,48.0,140.44,25963
151,409.0,143.82,25963
152,280.0,144.45,25963
153,409.0,148.45,25963
154,280.0,149.0,25963
155,262.0,149.37,26470
156,56.0,147.6,26470
157,399.0,151.34,26470
158,56.0,149.57,26470
159,262.0,151.86,26470
160,16.0,150.64,26977
161,24.0,148.39,26977
162,48.0,146.65,26977
163,40.0,146.21,26977
164,48.0,145.76,26977
165,56.0,143.75,27484
166,144.0,142.54,27484
167,16.0,142.3,27484
168,176.0,143.9,27484
169,24.0,141.41,27484
170,32.0,139.0,27484
171,8.0,136.27,27484
172,40.0,133.86,27484
173,269.0,135.99,27484
174,56.0,136.31,27987
175,80.0,134.14,27987
176,40.0,131.57,27987
177,32.0,131.81,27987
178,160.0,132.85,27987
179,16.0,130.32,27987
180,24.0,128.98,27987
181,56.0,128.49,27987
182,24.0,128.57,27987
183,8.0,125.52,27987
184,48.0,122.79,27987
185,64.0,122.71,27987
186,16.0,121.99,27987
187,441.0,124.4,27987
188,24.0,121.35,28485
189,40.0,121.27,28485
190,8.0,121.03,28485
191,64.0,121.51,28485
192,259.0,123.3,28485
193,16.0,123.38,28485
194,232.0,124.5,28485
195,457.0,128.03,28990
196,72.0,125.3,28990
197,16.0,124.74,28990
198,160.0,122.89,28990
199,64.0,121.46,28990
200,56.0,121.14,28990
201,24.0,120.5,28990
202,104.0,121.22,28990
203,32.0,118.01,28990
204,8.0,117.61,29493
205,72.0,116.97,29493
206,24.0,113.6,29493
207,465.0,116.81,29493
208,32.0,113.52,29493
209,168.0,115.12,29493
210,24.0,115.2,29493
211,104.0,115.76,29998
212,32.0,113.76,29998
213,96.0,114.64,29998
214,40.0,114.56,29998
215,96.0,114.0,29998
216,16.0,113.84,29998
217,72.0,113.12,29998
218,248.0,115.44,30503
219,104.0,116.32,30503
220,144.0,116.56,30503
221,472.0,120.64,30503
222,88.0,118.19,30503
223,40.0,115.93,30503
224,208.0,115.18,30503
225,136.0,116.06,30503
226,48.0,116.14,30503
227,32.0,112.69,31006
228,40.0,111.41,31006
229,40.0,111.33,31006
230,120.0,112.29,31006
231,48.0,112.61,31006
232,40.0,110.45,31006
233,32.0,110.69,31006
234,16.0,110.53,31006
235,88.0,111.33,31006
236,96.0,109.65,31006
237,8.0,106.57,31508
238,48.0,105.29,31508
239,8.0,101.44,31508
240,8.0,101.28,31508
241,48.0,101.28,31508
242,8.0,101.28,31508
243,80.0,101.36,31508
244,16.0,101.12,31508
245,500.0,105.88,31692
246,51.0,105.51,32204
247,51.0,105.54,32204
248,35.0,103.17,32204
249,43.0,102.88,32204
250,67.0,103.07,32204
251,11.0,99.09,32204
252,27.0,96.56,32204
253,11.0,92.58,32204
254,59.0,90.37,32204
255,35.0,88.1,32707
256,99.0,88.53,32707
257,27.0,84.81,32707
258,75.0,85.0,32707
259,43.0,82.81,32707
260,123.0,83.88,32707
261,19.0,83.83,32707
262,155.0,84.9,32707
263,35.0,84.85,32707
264,27.0,84.64,32707
265,59.0,84.67,33209
266,51.0,83.74,33209
267,91.0,84.49,33209
268,51.0,83.24,33209
269,8.0,83.08,33209
270,8.0,82.84,33209
271,203.0,84.79,33715
272,16.0,84.55,33715
273,67.0,82.53,33715
274,8.0,82.05,33715
275,8.0,81.33,33715
276,16.0,81.09,33715
277,43.0,81.2,33715
278,429.0,83.89,33715
279,59.0,84.32,34219
280,43.0,84.51,34219
281,16.0,84.11,34219
282,139.0,85.26,34219
283,8.0,85.26,34219
284,59.0,85.37,34219
285,32.0,85.05,34219
286,40.0,85.29,34724
287,40.0,81.28,34724
288,8.0,81.12,34724
289,211.0,82.83,34724
290,8.0,82.83,34724
291,203.0,84.22,34724
292,67.0,82.3,34724
293,139.0,83.53,34724
294,83.0,82.04,34724
295,40.0,77.87,34724
296,59.0,77.74,34724
297,91.0,78.49,35225
298,16.0,77.05,35225
299,40.0,76.81,35225
300,56.0,76.81,35734
301,8.0,76.65,35734
302,40.0,76.01,36244
303,40.0,76.09,36244
304,56.0,76.57,36244
305,24.0,76.09,36244
306,24.0,76.09,36244
307,75.0,72.19,36244
308,75.0,72.62,36244
309,219.0,73.13,36244
310,8.0,72.97,36748
311,48.0,72.41,36748
312,32.0,72.41,36748
313,24.0,71.69,36748
314,56.0,71.85,36748
315,139.0,72.28,36748
316,147.0,73.59,36748
317,48.0,73.35,36748
318,24.0,71.11,36748
319,72.0,70.79,36748
320,32.0,69.67,36748
321,32.0,65.27,36748
322,8.0,64.47,37248
323,16.0,64.23,37248
324,131.0,63.46,37248
325,56.0,62.66,37248
326,40.0,62.58,37248
327,48.0,62.74,37248
328,99.0,63.33,37248
329,72.0,63.65,37248
330,40.0,62.85,37248
331,48.0,62.85,37751
332,48.0,62.93,37751
333,8.0,62.69,37751
334,24.0,62.77,38260
335,115.0,63.04,38260
336,32.0,62.4,38260
337,64.0,62.96,38260
338,40.0,62.88,38260
339,147.0,64.27,38260
340,96.0,65.15,38260
341,24.0,64.91,38260
342,40.0,65.23,38764
343,88.0,65.31,38764
344,8.0,65.23,38764
345,40.0,60.63,39273
346,96.0,61.08,39273
347,40.0,60.97,39273
348,72.0,61.34,39273
349,88.0,61.79,39273
350,24.0,61.36,39273
351,72.0,61.97,39273
352,219.0,63.89,39273
353,171.0,65.49,39273
354,48.0,65.38,39776
355,24.0,65.27,39776
356,195.0,66.23,39776
357,40.0,66.36,39776
358,120.0,66.81,39776
359,56.0,66.94,39776
360,56.0,66.27,39776
361,16.0,66.24,40281
362,8.0,64.77,40281
363,48.0,64.9,40281
364,16.0,64.79,40281
365,64.0,64.84,40789
366,72.0,65.05,40789
367,16.0,64.3,40789
368,163.0,65.42,40789
369,128.0,66.62,40789
370,128.0,67.82,40789
371,16.0,65.95,40789
372,24.0,66.03,40789
373,40.0,65.76,40789
374,112.0,66.8,40789
375,128.0,68.0,40789
376,8.0,67.92,41290
377,32.0,67.81,41290
378,64.0,64.16,41290
379,72.0,64.29,41290
380,8.0,63.94,41290
381,40.0,64.18,41290
382,24.0,63.03,41290
383,32.0,63.27,41795
384,16.0,62.84,41795
385,32.0,62.84,41795
386,64.0,63.08,41795
387,163.0,64.31,41795
388,48.0,64.71,41795
389,8.0,62.68,41795
390,40.0,63.0,41795
391,40.0,61.37,41795
392,128.0,61.98,42298
393,24.0,60.83,42298
394,16.0,60.16,42298
395,96.0,60.72,42298
396,16.0,60.29,42298
397,88.0,60.26,42298
398,64.0,60.74,42298
399,8.0,60.42,42298
400,72.0,60.58,42298
401,96.0,61.46,42801
402,8.0,61.14,42801
403,40.0,61.14,42801
404,16.0,60.74,42801
405,72.0,61.22,42801
406,88.0,61.86,42801
407,88.0,61.99,42801
408,144.0,62.68,43306
409,40.0,60.89,43306
410,187.0,62.68,43306
411,24.0,62.44,43306
412,203.0,64.15,43306
413,48.0,64.39,43306
414,32.0,64.15,43812
415,8.0,62.84,43812
416,251.0,63.88,43812
417,32.0,63.72,43812
418,48.0,63.96,43812
419,16.0,63.4,43812
420,40.0,63.48,43812
421,48.0,63.64,43812
422,8.0,63.64,44316
423,40.0,63.88,44316
424,259.0,65.16,44316
425,48.0,65.08,44316
426,88.0,65.56,44316
427,235.0,67.43,44316
428,32.0,66.76,44316
429,259.0,68.63,44316
430,16.0,68.39,44316
431,24.0,68.15,44316
432,56.0,68.23,44316
433,16.0,68.31,44316
434,8.0,68.15,44316
435,32.0,67.32,44316
436,8.0,67.08,44316
437,56.0,67.0,44316
438,259.0,69.19,44316
439,56.0,68.28,44811
440,56.0,67.88,44811
441,16.0,67.8,44811
442,8.0,67.48,44811
443,32.0,66.92,44811
444,8.0,66.92,44811
445,128.0,67.8,45317
446,32.0,67.16,45317
447,72.0,67.48,45317
448,40.0,67.16,45317
449,16.0,66.44,45317
450,24.0,66.44,45317
451,16.0,65.88,45317
452,24.0,63.93,45822
453,32.0,62.54,45822
454,24.0,62.3,45822
455,16.0,62.22,45822
456,64.0,60.91,45822
457,88.0,61.39,45822
458,160.0,61.79,45822
459,251.0,63.74,45822
460,96.0,64.14,45822
461,136.0,65.34,45822
462,251.0,67.77,45822
463,152.0,68.81,46323
464,88.0,69.53,46323
465,16.0,69.05,46323
466,152.0,69.85,46323
467,48.0,70.17,46323
468,136.0,69.9,46830
469,72.0,69.34,46830
470,152.0,69.58,46830
471,40.0,69.82,46830
472,104.0,70.62,46830
473,136.0,71.58,46830
474,40.0,70.86,46830
475,32.0,69.9,47335
476,16.0,69.98,47335
477,72.0,70.38,47335
478,80.0,70.54,47335
479,40.0,70.22,47335
480,248.0,72.62,47335
481,56.0,72.78,47335
482,283.0,75.37,47335
483,16.0,75.21,47335
484,48.0,75.53,47335
485,48.0,75.69,47335
486,40.0,75.45,47335
487,16.0,73.98,47335
488,144.0,74.94,47335
489,32.0,75.18,47833
490,56.0,75.34,47833
491,40.0,75.34,47833
492,32.0,74.38,47833
493,40.0,74.54,47833
