Episode,Episode_Return,Episode_Return_smooth,env_step
1,9.0,9.0,512
2,9.0,9.0,512
3,9.0,9.0,512
4,18.0,11.25,1085
5,18.0,12.6,1085
6,18.0,13.5,1085
7,27.0,15.428571428571429,1658
8,37.0,18.125,2297
9,37.0,20.22222222222222,2297
10,45.0,22.7,2807
11,54.0,25.545454545454547,3382
12,62.0,28.583333333333332,3893
13,71.0,31.846153846153847,4468
14,80.0,35.285714285714285,5043
15,53.0,36.46666666666667,5043
16,80.0,39.1875,5043
17,88.0,42.05882352941177,5552
18,87.0,44.55555555555556,6063
19,34.0,44.0,6638
20,96.0,46.6,6638
21,105.0,49.38095238095238,6638
22,105.0,51.90909090909091,6638
23,105.0,54.21739130434783,6638
24,114.0,56.708333333333336,7209
25,34.0,55.8,7209
26,122.0,58.34615384615385,7719
27,131.0,61.03703703703704,8294
28,131.0,63.535714285714285,8294
29,131.0,65.86206896551724,8294
30,131.0,68.03333333333333,8294
31,122.0,69.7741935483871,8294
32,9.0,67.875,8865
33,140.0,70.06060606060606,8865
34,148.0,72.3529411764706,9375
35,157.0,74.77142857142857,9950
36,157.0,77.05555555555556,9950
37,120.0,78.21621621621621,9950
38,166.0,80.52631578947368,10523
39,175.0,82.94871794871794,11098
40,175.0,85.25,11098
41,53.0,84.46341463414635,11672
42,44.0,83.5,11672
43,79.0,83.3953488372093,11672
44,193.0,85.88636363636364,12245
45,201.0,88.44444444444444,12756
46,209.0,91.06521739130434,13267
47,113.0,91.53191489361703,13842
48,70.0,91.08333333333333,13842
49,218.0,93.6734693877551,13842
50,218.0,96.16,13842
51,104.0,96.31372549019608,14350
52,61.0,95.63461538461539,14989
53,244.0,98.43396226415095,15500
54,216.0,100.61111111111111,16075
55,263.0,103.56363636363636,16714
56,218.0,105.60714285714286,16714
57,158.0,106.52631578947368,16714
58,175.0,107.70689655172414,16714
59,271.0,110.47457627118644,17222
60,218.0,112.26666666666667,17797
61,184.0,113.44262295081967,18372
62,123.0,113.59677419354838,18372
63,105.0,113.46031746031746,18372
64,280.0,116.0625,18945
65,44.0,114.95384615384616,19520
66,90.0,114.57575757575758,20095
67,202.0,115.88059701492537,20095
68,61.0,115.07352941176471,20605
69,334.0,118.2463768115942,21244
70,141.0,118.57142857142857,21244
71,177.0,119.3943661971831,21244
72,203.0,120.55555555555556,21244
73,334.0,123.47945205479452,21244
74,159.0,123.95945945945945,21815
75,107.0,123.73333333333333,21815
76,299.0,126.03947368421052,22453
77,19.0,124.64935064935065,22453
78,273.0,126.55128205128206,22453
79,362.0,129.53164556962025,23026
80,161.0,129.925,23026
81,144.0,130.09876543209876,23026
82,362.0,132.9268292682927,23026
83,370.0,135.78313253012047,23534
84,161.0,136.08333333333334,24109
85,388.0,139.04705882352943,24684
86,204.0,139.80232558139534,24684
87,301.0,141.6551724137931,25258
88,63.0,140.76136363636363,25258
89,397.0,143.64044943820224,25258
90,117.0,143.34444444444443,25831
91,257.0,144.5934065934066,26342
92,115.0,144.27173913043478,26853
93,69.0,143.46236559139786,27428
94,431.0,146.5212765957447,27428
95,431.0,149.5157894736842,27428
96,25.0,148.21875,27937
97,431.0,151.1340206185567,28576
98,449.0,154.1734693877551,28576
99,369.0,156.34343434343435,28576
100,79.0,155.57,28576
101,205.0,157.53,28576
102,105.0,158.49,29147
103,27.0,158.67,29147
104,168.0,160.17,29657
105,466.0,164.65,29657
106,8.0,164.55,30167
107,43.0,164.71,30678
108,473.0,169.07,31253
109,499.0,173.69,31764
110,50.0,173.74,31764
111,500.0,178.2,31826
112,500.0,182.58,31826
113,500.0,186.87,31826
114,500.0,191.07,31826
115,500.0,195.54,31826
116,500.0,199.74,31826
117,500.0,203.86,31826
118,500.0,207.99,31826
119,500.0,212.65,31826
120,500.0,216.69,31826
121,500.0,220.64,31826
122,500.0,224.59,31826
123,193.0,225.47,32402
124,174.0,226.07,32913
125,77.0,226.5,33488
126,192.0,227.2,33488
127,138.0,227.27,34062
128,18.0,226.14,34062
129,35.0,225.18,34062
130,281.0,226.68,34635
131,155.0,227.01,35146
132,94.0,227.86,35146
133,183.0,228.29,35784
134,282.0,229.63,35784
135,291.0,230.97,35784
136,62.0,230.02,35784
137,35.0,229.17,36292
138,225.0,229.76,36803
139,378.0,231.79,37378
140,243.0,232.47,37953
141,97.0,232.91,37953
142,262.0,235.09,38527
143,500.0,239.3,38527
144,324.0,240.61,39038
145,500.0,243.6,39101
146,132.0,242.83,39677
147,123.0,242.93,39677
148,500.0,247.23,40187
149,500.0,250.05,40187
150,500.0,252.87,40763
151,252.0,254.35,40763
152,53.0,254.27,41338
153,9.0,251.92,41338
154,500.0,254.76,41848
155,350.0,255.63,42424
156,278.0,256.23,42999
157,113.0,255.78,42999
158,500.0,259.03,42999
159,61.0,256.93,42999
160,175.0,256.5,42999
161,351.0,258.17,42999
162,97.0,257.91,43570
163,271.0,259.57,44145
164,202.0,258.79,44720
165,132.0,259.67,44720
166,236.0,261.13,44720
167,202.0,261.13,45293
168,211.0,262.63,45293
169,185.0,261.14,45293
170,500.0,264.73,45738
171,500.0,267.96,45738
172,149.0,267.42,46314
173,175.0,265.83,46314
174,52.0,264.76,46314
175,43.0,264.12,46314
176,261.0,263.74,46822
177,313.0,266.68,47397
178,410.0,268.05,47397
179,295.0,267.38,47397
180,390.0,269.67,47906
181,500.0,273.23,47969
182,51.0,270.12,48545
183,18.0,266.6,48545
184,500.0,269.99,48607
185,132.0,267.43,49183
186,61.0,266.0,49183
187,63.0,263.62,49757
188,281.0,265.8,49757
189,27.0,262.1,50267
190,500.0,265.93,50267
191,255.0,265.91,50906
192,10.0,264.86,50906
193,97.0,265.14,50906
194,437.0,265.2,50906
195,411.0,265.0,50906
196,341.0,268.16,50906
197,124.0,265.09,50906
198,36.0,260.96,51475
199,334.0,260.61,51986
200,98.0,260.8,52561
201,220.0,260.95,52561
202,325.0,263.15,52561
203,168.0,264.56,52561
204,500.0,267.88,53133
205,221.0,265.43,53133
206,132.0,266.67,53133
207,18.0,266.42,53707
208,308.0,264.77,53707
209,79.0,260.57,54217
210,360.0,263.67,54792
211,17.0,258.84,54792
212,298.0,256.82,54792
213,500.0,256.82,54917
214,73.0,252.55,55557
215,145.0,249.0,55557
216,119.0,245.19,55557
217,216.0,242.35,56194
218,155.0,238.9,56194
219,110.0,235.0,56768
220,137.0,231.37,57343
221,182.0,228.19,57343
222,92.0,224.11,57343
223,401.0,226.19,57343
224,400.0,228.45,57343
225,40.0,228.08,57343
226,84.0,227.0,57343
227,101.0,226.63,57343
228,304.0,229.49,57343
229,500.0,234.14,57718
230,187.0,233.2,58230
231,292.0,234.57,58805
232,188.0,235.51,58805
233,500.0,238.68,59315
234,132.0,237.18,59315
235,150.0,235.77,59826
236,76.0,235.91,60401
237,500.0,240.56,60464
238,500.0,243.31,60464
239,283.0,242.36,61040
240,283.0,242.76,61040
241,86.0,242.65,61040
242,223.0,242.26,61613
243,168.0,238.94,61613
244,19.0,235.89,61613
245,327.0,234.16,62186
246,26.0,233.1,62697
247,167.0,233.54,63208
248,500.0,233.54,63719
249,500.0,233.54,63719
250,109.0,229.63,63719
251,334.0,230.45,64294
252,483.0,234.75,64294
253,298.0,237.64,64294
254,118.0,233.82,64867
255,193.0,232.25,64867
256,118.0,230.65,64867
257,228.0,231.8,65440
258,127.0,228.07,65440
259,500.0,232.46,65950
260,121.0,231.92,66526
261,35.0,228.76,66526
262,500.0,232.79,67036
263,211.0,232.19,67676
264,387.0,234.04,67676
265,360.0,236.32,67676
266,53.0,234.49,67676
267,131.0,233.78,67676
268,500.0,236.67,67676
269,200.0,236.82,67676
270,500.0,236.82,67676
271,113.0,232.95,67676
272,9.0,231.55,68245
273,79.0,230.59,68245
274,122.0,231.29,68245
275,329.0,234.15,68882
276,158.0,233.12,68882
277,105.0,231.04,68882
278,9.0,227.03,69455
279,72.0,224.8,69455
280,406.0,224.96,70029
281,476.0,224.72,70029
282,476.0,228.97,70029
283,18.0,228.97,70029
284,37.0,224.34,70029
285,500.0,228.02,70408
286,174.0,229.15,70920
287,59.0,229.11,71431
288,500.0,231.3,72070
289,32.0,231.35,72070
290,231.0,228.66,72070
291,305.0,229.16,72580
292,314.0,232.2,73155
293,500.0,236.23,73218
294,148.0,233.34,73730
295,403.0,233.26,74241
296,207.0,231.92,74816
297,183.0,232.51,75391
298,101.0,233.16,75902
299,147.0,231.29,75902
300,277.0,233.08,75902
301,155.0,232.43,76411
302,109.0,230.27,76986
303,146.0,230.05,76986
304,326.0,228.31,76986
305,208.0,228.18,76986
306,409.0,230.95,76986
307,190.0,232.67,77557
308,317.0,232.76,77557
309,78.0,232.75,77557
310,353.0,232.68,78066
311,25.0,232.76,78577
312,143.0,231.21,78577
313,342.0,229.63,79151
314,275.0,231.65,79151
315,111.0,231.31,79151
316,342.0,233.54,79151
317,500.0,236.38,79275
318,36.0,235.19,79851
319,353.0,237.62,79851
320,122.0,237.47,79851
321,277.0,238.42,80360
322,198.0,239.48,80871
323,35.0,235.82,81382
324,86.0,232.68,81382
325,500.0,237.28,81636
326,36.0,236.8,82148
327,199.0,237.78,82723
328,500.0,239.74,82786
329,350.0,238.24,83362
330,256.0,238.93,83362
331,473.0,240.74,83872
332,56.0,239.42,84447
333,500.0,239.42,84447
334,194.0,240.04,84447
335,500.0,243.54,85021
336,272.0,245.5,85021
337,90.0,241.4,85596
338,126.0,237.66,85596
339,272.0,237.55,85596
340,281.0,237.53,85596
341,62.0,237.29,85596
342,195.0,237.01,86167
343,53.0,235.86,86167
344,44.0,236.11,86167
345,127.0,234.11,86167
346,500.0,238.85,86675
347,500.0,242.18,86675
348,170.0,238.88,87251
349,61.0,234.49,87251
350,127.0,234.67,87251
351,53.0,231.86,87824
352,35.0,227.38,87824
353,53.0,224.93,87824
354,35.0,224.1,87824
355,500.0,227.17,88076
356,183.0,227.82,88652
357,22.0,225.76,89227
358,500.0,229.49,89227
359,373.0,228.22,89227
360,500.0,232.01,89609
361,173.0,233.39,90185
362,207.0,230.46,90185
363,33.0,228.68,90185
364,206.0,226.87,90694
365,500.0,228.27,91205
366,231.0,230.05,91717
367,489.0,233.63,92228
368,86.0,229.49,92739
369,223.0,229.72,93378
370,366.0,228.38,93378
371,394.0,231.19,93378
372,500.0,236.1,93503
373,302.0,238.33,94079
374,458.0,241.69,94079
375,11.0,238.51,94079
376,199.0,238.92,94079
377,168.0,239.55,94587
378,101.0,240.47,95098
379,500.0,244.75,95609
380,85.0,241.54,95609
381,184.0,238.62,96184
382,109.0,234.95,96184
383,491.0,239.68,96184
384,419.0,243.5,96757
385,42.0,238.92,96757
386,274.0,239.92,97331
387,465.0,243.98,97331
388,18.0,239.16,97331
389,43.0,239.27,97331
390,500.0,241.96,97839
391,17.0,239.08,98415
392,200.0,237.94,98926
393,300.0,235.94,99501
394,34.0,234.8,99501
395,448.0,235.25,99501
396,26.0,233.44,99501
397,201.0,233.62,99501
398,500.0,237.61,99560
399,500.0,241.14,99560
400,70.0,239.07,100072
401,302.0,240.54,100647
402,500.0,244.45,100774
403,72.0,243.71,101350
404,407.0,244.52,101861
405,300.0,245.44,101861
406,500.0,246.35,102307
407,158.0,246.03,102819
408,500.0,247.86,103330
409,69.0,247.77,103906
410,252.0,246.76,103906
411,215.0,248.66,103906
412,138.0,248.61,103906
413,350.0,248.69,104478
414,174.0,247.68,104478
415,305.0,249.62,104478
416,49.0,246.69,104987
417,500.0,246.69,105050
418,500.0,251.33,105114
419,95.0,248.75,105626
420,130.0,248.83,105626
421,35.0,246.41,106136
422,500.0,249.43,106136
423,165.0,250.73,106711
424,331.0,253.18,106711
425,44.0,248.62,106711
426,348.0,251.74,107220
427,500.0,254.75,107283
428,500.0,254.75,107795
429,357.0,254.82,108371
430,269.0,254.95,108371
431,500.0,255.22,108881
432,190.0,256.56,109457
433,52.0,252.08,110032
434,500.0,255.14,110479
435,500.0,255.14,110479
436,275.0,255.17,111055
437,277.0,257.04,111055
438,242.0,258.2,111055
439,9.0,255.57,111055
440,266.0,255.42,111055
441,500.0,259.8,111178
442,375.0,261.6,111754
443,201.0,263.08,112329
444,209.0,264.73,112840
445,37.0,263.83,113415
446,209.0,260.92,113415
447,227.0,258.19,113415
448,113.0,257.62,113924
449,197.0,258.98,114435
450,404.0,261.75,115010
451,461.0,265.83,115010
452,139.0,266.87,115010
453,390.0,270.24,115583
454,122.0,271.11,115583
455,165.0,267.76,115583
456,435.0,270.28,115583
457,217.0,272.23,116155
458,43.0,267.66,116155
459,89.0,264.82,116155
460,269.0,262.51,116664
461,439.0,265.17,117239
462,496.0,268.06,117814
463,191.0,269.64,117814
464,201.0,269.59,117814
465,500.0,269.59,118067
466,500.0,272.28,118067
467,500.0,272.39,118579
468,65.0,272.18,119155
469,500.0,274.95,119155
470,500.0,276.29,119155
471,39.0,272.74,119155
472,230.0,270.04,119155
473,99.0,268.01,119728
474,195.0,265.38,119728
475,74.0,266.01,119728
476,9.0,264.11,119728
477,221.0,264.64,119728
478,116.0,264.79,120235
479,419.0,263.98,120810
480,246.0,265.59,120810
481,43.0,264.18,120810
482,325.0,266.34,121383
483,56.0,261.99,121383
484,9.0,257.89,121383
485,100.0,258.47,121383
486,500.0,260.73,121507
487,324.0,259.32,122019
488,500.0,264.14,122082
489,75.0,264.46,122594
490,119.0,260.65,123169
491,250.0,262.98,123169
