Episode,Episode_Return,Episode_Return_smooth,env_step
1,9.0,9.0,512
2,17.0,13.0,1023
3,25.0,17.0,1534
4,34.0,21.25,2109
5,9.0,18.8,2109
6,42.0,22.666666666666668,2619
7,50.0,26.571428571428573,3130
8,58.0,30.5,3641
9,67.0,34.55555555555556,4216
10,76.0,38.7,4791
11,76.0,42.09090909090909,4791
12,76.0,44.916666666666664,4791
13,85.0,48.0,5364
14,94.0,51.285714285714285,5939
15,103.0,54.733333333333334,6514
16,53.0,54.625,7025
17,52.0,54.470588235294116,7536
18,128.0,58.55555555555556,8111
19,138.0,62.73684210526316,8750
20,138.0,66.5,8750
21,138.0,69.9047619047619,8750
22,147.0,73.4090909090909,9323
23,157.0,77.04347826086956,9962
24,148.0,80.0,9962
25,19.0,77.56,9962
26,165.0,80.92307692307692,10471
27,140.0,83.11111111111111,11046
28,174.0,86.35714285714286,11046
29,36.0,84.62068965517241,11046
30,72.0,84.2,11619
31,183.0,87.38709677419355,11619
32,193.0,90.6875,12257
33,55.0,89.60606060606061,12257
34,193.0,92.6470588235294,12257
35,193.0,95.51428571428572,12257
36,117.0,96.11111111111111,12257
37,193.0,98.72972972972973,12257
38,203.0,101.47368421052632,12891
39,10.0,99.12820512820512,12891
40,29.0,97.375,12891
41,203.0,99.95121951219512,12891
42,203.0,102.4047619047619,12891
43,9.0,100.23255813953489,13462
44,221.0,102.97727272727273,14037
45,221.0,105.6,14037
46,28.0,103.91304347826087,14037
47,65.0,103.08510638297872,14610
48,92.0,102.85416666666667,15185
49,67.0,102.12244897959184,15888
50,93.0,101.94,15888
51,250.0,104.84313725490196,15888
52,182.0,106.32692307692308,16397
53,46.0,105.18867924528301,16972
54,276.0,108.35185185185185,17547
55,26.0,106.85454545454546,17547
56,276.0,109.875,17547
57,235.0,112.0701754385965,18120
58,294.0,115.20689655172414,18695
59,91.0,114.79661016949153,18695
60,294.0,117.78333333333333,18695
61,303.0,120.81967213114754,19268
62,146.0,121.2258064516129,19268
63,278.0,123.71428571428571,19842
64,18.0,122.0625,19842
65,321.0,125.12307692307692,20416
66,136.0,125.28787878787878,20927
67,253.0,127.19402985074628,21502
68,338.0,130.2941176470588,21502
69,53.0,129.17391304347825,22076
70,347.0,132.28571428571428,22076
71,18.0,130.67605633802816,22076
72,357.0,133.81944444444446,22713
73,164.0,134.23287671232876,22713
74,357.0,137.24324324324326,22713
75,154.0,137.46666666666667,22713
76,163.0,137.80263157894737,23285
77,145.0,137.8961038961039,23285
78,19.0,136.37179487179486,23923
79,118.0,136.13924050632912,23923
80,384.0,139.2375,24433
81,317.0,141.4320987654321,25008
82,9.0,139.8170731707317,25008
83,90.0,139.21686746987953,25008
84,376.0,142.03571428571428,25008
85,91.0,141.43529411764706,25644
86,118.0,141.1627906976744,25644
87,371.0,143.80459770114942,26282
88,184.0,144.26136363636363,26921
89,173.0,144.58426966292134,26921
90,102.0,144.11111111111111,26921
91,423.0,147.17582417582418,26921
92,432.0,150.27173913043478,27493
93,48.0,149.1720430107527,28068
94,112.0,148.77659574468086,28643
95,301.0,150.37894736842105,29154
96,190.0,150.79166666666666,29665
97,466.0,154.04123711340208,29665
98,172.0,154.22448979591837,30239
99,485.0,157.56565656565655,30878
100,485.0,160.84,30878
101,119.0,161.94,30878
102,44.0,162.21,30878
103,283.0,164.79,31514
104,495.0,169.4,31514
105,72.0,170.03,31514
106,500.0,174.61,31831
107,500.0,179.11,31831
108,500.0,183.53,31831
109,500.0,187.86,31831
110,500.0,192.1,31831
111,500.0,196.34,31831
112,500.0,200.58,31831
113,500.0,204.73,31831
114,500.0,208.79,31831
115,500.0,212.76,31831
116,500.0,217.23,31831
117,500.0,221.71,31831
118,500.0,225.43,31831
119,500.0,229.05,31831
120,8.0,227.75,32343
121,32.0,226.69,32918
122,267.0,227.89,32918
123,188.0,228.2,33492
124,94.0,227.66,33492
125,77.0,228.24,34066
126,342.0,230.01,34066
127,141.0,230.02,34640
128,18.0,228.46,34640
129,67.0,228.77,35150
130,9.0,228.14,35725
131,156.0,227.87,36236
132,450.0,230.44,36811
133,78.0,230.67,36811
134,413.0,232.87,37385
135,500.0,235.94,37832
136,500.0,239.77,38408
137,400.0,241.84,38408
138,256.0,242.37,38408
139,25.0,242.52,38408
140,438.0,246.61,38981
141,500.0,249.58,39428
142,352.0,251.07,40004
143,50.0,251.48,40004
144,244.0,251.71,40578
145,50.0,250.0,40578
146,280.0,252.52,40578
147,138.0,253.25,41151
148,262.0,254.95,41726
149,164.0,255.92,42301
150,70.0,255.69,42301
151,198.0,255.17,42301
152,397.0,257.32,42874
153,173.0,258.59,42874
154,181.0,257.64,43384
155,500.0,262.38,43511
156,19.0,259.81,44087
157,207.0,259.53,44087
158,500.0,261.59,44149
159,75.0,261.43,44789
160,473.0,263.22,44789
161,194.0,262.13,45299
162,159.0,262.26,45874
163,500.0,264.48,45937
164,38.0,264.68,46513
165,239.0,263.86,47088
166,55.0,263.05,47599
167,45.0,260.97,48174
168,265.0,260.24,48749
169,408.0,263.79,48749
170,389.0,264.21,48749
171,500.0,269.03,48874
172,276.0,268.22,49450
173,9.0,266.67,49450
174,93.0,264.03,49450
175,181.0,264.3,49959
176,428.0,266.95,50598
177,437.0,269.87,50598
178,18.0,269.86,50598
179,157.0,270.25,50598
180,500.0,271.41,50598
181,131.0,269.55,51234
182,319.0,272.65,51234
183,500.0,276.75,51744
184,287.0,275.86,52384
185,57.0,275.52,52384
186,37.0,274.71,52958
187,484.0,275.84,52958
188,37.0,274.37,52958
189,56.0,273.2,53531
190,500.0,277.18,53978
191,81.0,273.76,54618
192,370.0,273.14,55129
193,452.0,277.18,55768
194,380.0,279.86,55768
195,500.0,281.85,55830
196,91.0,280.86,56406
197,282.0,279.02,56406
198,165.0,278.95,56406
199,390.0,278.0,56406
200,500.0,278.15,56914
201,25.0,277.21,57426
202,500.0,281.77,57553
203,183.0,280.77,58193
204,220.0,278.02,58193
205,413.0,281.43,58193
206,82.0,277.25,58193
207,318.0,275.43,58701
208,500.0,275.43,58828
209,500.0,275.43,58828
