Episode,Episode_Return,Episode_Return_smooth,env_step
1,9.0,9.0,512
2,9.0,9.0,512
3,18.0,12.0,1086
4,28.0,16.0,1725
5,37.0,20.2,2300
6,18.0,19.833333333333332,2875
7,55.0,24.857142857142858,3450
8,55.0,28.625,3450
9,66.0,32.77777777777778,4152
10,66.0,36.1,4152
11,75.0,39.63636363636363,4726
12,84.0,43.333333333333336,5301
13,94.0,47.23076923076923,5940
14,103.0,51.214285714285715,6515
15,112.0,55.266666666666666,7090
16,112.0,58.8125,7090
17,122.0,62.529411764705884,7728
18,122.0,65.83333333333333,7728
19,122.0,68.78947368421052,7728
20,130.0,71.85,8237
21,140.0,75.0952380952381,8876
22,149.0,78.45454545454545,9451
23,45.0,77.0,9962
24,157.0,80.33333333333333,9962
25,166.0,83.76,10536
26,166.0,86.92307692307692,10536
27,72.0,86.37037037037037,11110
28,183.0,89.82142857142857,11621
29,192.0,93.34482758620689,12196
30,146.0,95.1,12196
31,126.0,96.09677419354838,12196
32,201.0,99.375,12769
33,210.0,102.72727272727273,13344
34,44.0,101.0,13344
35,116.0,101.42857142857143,13344
36,221.0,104.75,14045
37,221.0,107.89189189189189,14045
38,39.0,106.07894736842105,14683
39,241.0,109.53846153846153,15322
40,241.0,112.825,15322
41,241.0,115.95121951219512,15322
42,251.0,119.16666666666667,15959
43,251.0,122.23255813953489,15959
44,205.0,124.11363636363636,16533
45,19.0,121.77777777777777,17172
46,270.0,125.0,17172
47,186.0,126.29787234042553,17172
48,9.0,123.85416666666667,17745
49,88.0,123.12244897959184,18384
50,289.0,126.44,18384
51,79.0,125.50980392156863,18384
52,298.0,128.82692307692307,18957
53,168.0,129.56603773584905,19596
54,253.0,131.85185185185185,19596
55,233.0,133.6909090909091,19596
56,116.0,133.375,19596
57,316.0,136.57894736842104,20104
58,56.0,135.18965517241378,20743
59,317.0,138.27118644067798,20743
60,105.0,137.71666666666667,21381
61,336.0,140.9672131147541,21381
62,336.0,144.11290322580646,21381
63,336.0,147.15873015873015,21381
64,336.0,150.109375,21381
65,279.0,152.09230769230768,21952
66,225.0,153.1969696969697,22591
67,355.0,156.2089552238806,22591
68,47.0,154.60294117647058,22591
69,172.0,154.85507246376812,22591
70,49.0,153.34285714285716,23227
71,134.0,153.07042253521126,23866
72,96.0,152.27777777777777,23866
73,39.0,150.72602739726028,23866
74,385.0,153.8918918918919,24503
75,386.0,156.98666666666668,25142
76,68.0,155.81578947368422,25717
77,414.0,159.16883116883116,26356
78,302.0,161.0,26995
79,49.0,159.58227848101265,26995
80,224.0,160.3875,27633
81,434.0,163.76543209876544,27633
82,434.0,167.0609756097561,27633
83,117.0,166.4578313253012,28206
84,451.0,169.8452380952381,28717
85,105.0,169.08235294117648,29292
86,134.0,168.67441860465115,29931
87,36.0,167.1494252873563,29931
88,162.0,167.0909090909091,29931
89,286.0,168.42696629213484,30440
90,93.0,167.5888888888889,31079
91,123.0,167.0989010989011,31079
92,113.0,166.5108695652174,31717
93,500.0,170.09677419354838,31844
94,500.0,173.60638297872342,31844
95,500.0,177.0421052631579,31844
96,500.0,180.40625,31844
97,500.0,183.70103092783506,31844
98,500.0,186.92857142857142,31844
99,500.0,190.0909090909091,31844
100,500.0,193.19,31844
101,500.0,198.1,31844
102,500.0,203.01,31844
103,500.0,207.83,31844
104,500.0,212.55,31844
105,500.0,217.18,31844
106,500.0,222.0,31844
107,500.0,226.45,31844
108,49.0,226.39,32420
109,173.0,227.46,32420
110,500.0,231.8,32994
111,396.0,235.01,32994
112,306.0,237.23,33569
113,500.0,241.29,34208
114,316.0,243.42,34208
115,37.0,242.67,34208
116,191.0,243.46,34782
117,398.0,246.22,35357
118,406.0,249.06,35357
119,28.0,248.12,35995
120,38.0,247.2,35995
121,139.0,247.19,36505
122,83.0,246.53,37144
123,332.0,249.4,37144
124,85.0,248.68,37144
125,74.0,247.76,37717
126,36.0,246.46,38292
127,497.0,250.71,38803
128,214.0,251.02,39378
129,148.0,250.58,39378
130,500.0,254.12,39632
131,153.0,254.39,40208
132,161.0,253.99,40208
133,32.0,252.21,40846
134,151.0,253.28,41485
135,181.0,253.93,41485
136,10.0,251.82,41485
137,500.0,254.61,41866
138,500.0,259.22,42442
139,349.0,260.3,43018
140,500.0,262.89,43018
141,130.0,261.78,43657
142,93.0,260.2,44232
143,405.0,261.74,44232
144,157.0,261.26,44232
145,216.0,263.23,44869
146,253.0,263.06,44869
147,500.0,266.2,45251
148,146.0,267.57,45827
149,34.0,267.03,46402
150,106.0,265.2,46977
151,500.0,269.41,47232
152,500.0,271.43,47232
153,251.0,272.26,47872
154,500.0,274.73,48447
155,205.0,274.45,48447
156,462.0,277.91,49086
157,500.0,279.75,49086
158,462.0,283.81,49086
159,152.0,282.16,49086
160,93.0,282.04,49595
161,17.0,278.85,50170
162,500.0,280.49,50297
163,500.0,282.13,50297
164,423.0,283.0,50873
165,500.0,285.21,50873
166,298.0,285.94,51448
167,79.0,283.18,51448
168,233.0,285.04,52022
169,36.0,283.68,52597
170,27.0,283.46,52597
171,334.0,285.46,53171
172,459.0,289.09,53171
173,410.0,292.8,53171
174,500.0,293.95,53296
175,500.0,295.09,53872
176,344.0,297.85,54384
177,500.0,298.71,54511
178,500.0,300.69,54511
179,318.0,303.38,55087
180,250.0,303.64,55598
181,26.0,299.56,56173
182,230.0,297.52,56173
183,188.0,298.23,56875
184,400.0,297.72,57386
185,326.0,299.93,57961
186,500.0,303.59,58280
187,78.0,304.01,58856
188,500.0,307.39,58919
189,500.0,309.53,59559
190,500.0,313.6,60134
191,451.0,316.88,60646
192,310.0,318.85,61285
193,134.0,315.19,61860
194,470.0,314.89,61860
195,480.0,314.69,62498
196,480.0,314.49,62498
197,164.0,311.13,62498
198,500.0,311.13,63007
199,17.0,306.3,63583
200,500.0,306.3,63774
201,500.0,306.3,63774
202,500.0,306.3,63774
203,500.0,306.3,63774
204,500.0,306.3,63774
205,490.0,306.2,64286
206,425.0,305.45,64861
207,360.0,304.05,65436
208,117.0,304.73,65436
209,55.0,303.55,66010
210,182.0,300.37,66010
211,500.0,301.41,66136
212,8.0,298.43,66648
213,314.0,296.57,67287
214,183.0,295.24,67862
215,500.0,299.87,67925
216,48.0,298.44,68501
217,500.0,299.46,69076
218,220.0,297.6,69652
219,474.0,302.06,69652
220,295.0,304.63,70290
221,451.0,307.75,70290
222,351.0,310.43,70290
223,408.0,311.19,70290
224,393.0,314.27,70926
225,229.0,315.82,71501
226,473.0,320.19,72076
227,160.0,316.82,72076
228,500.0,319.68,72138
229,371.0,321.91,72778
230,77.0,317.68,72778
231,476.0,320.91,73416
232,143.0,320.73,73416
233,105.0,321.46,73990
234,383.0,323.78,74629
235,500.0,326.97,74948
236,82.0,327.69,75524
237,424.0,326.93,75524
238,72.0,322.65,75524
239,139.0,320.55,75524
240,250.0,318.05,76096
241,368.0,320.43,76096
242,500.0,324.5,76158
243,434.0,324.79,76798
244,500.0,328.22,76798
245,112.0,327.18,76798
246,500.0,329.65,77180
247,319.0,327.84,77756
248,24.0,326.62,78331
249,500.0,331.28,78906
250,500.0,335.22,79162
251,75.0,330.97,79738
252,129.0,327.26,80313
253,434.0,329.09,80313
254,500.0,329.09,80375
255,346.0,330.5,80951
256,59.0,326.47,80951
257,500.0,326.47,81013
258,500.0,326.85,81525
259,363.0,328.96,82101
260,500.0,333.03,82228
261,318.0,336.04,82804
262,384.0,334.88,82804
263,500.0,334.88,82804
264,156.0,332.21,83378
265,20.0,327.41,83378
266,500.0,329.43,83378
267,373.0,332.37,83378
268,29.0,330.33,83378
269,132.0,331.29,83950
270,435.0,335.37,83950
271,19.0,332.22,84588
272,205.0,329.68,84588
273,500.0,330.58,85098
274,500.0,330.58,85098
275,500.0,330.58,85098
276,261.0,329.75,85738
277,214.0,326.89,85738
278,213.0,324.02,86376
279,170.0,322.54,86376
280,500.0,325.04,86438
281,170.0,326.48,87014
282,500.0,329.18,87014
283,373.0,331.03,87589
284,39.0,327.42,87589
285,189.0,326.05,88163
286,142.0,322.47,88802
287,199.0,323.68,88802
288,366.0,322.34,88802
289,85.0,318.19,88802
290,76.0,313.95,88802
291,28.0,309.72,89373
292,85.0,307.47,89373
293,431.0,310.44,89373
294,450.0,310.24,89373
295,308.0,308.52,89945
296,130.0,305.02,90520
297,37.0,303.75,90520
298,121.0,299.96,91094
299,159.0,301.38,91094
300,431.0,300.69,91094
301,217.0,297.86,91603
302,207.0,294.93,92114
303,127.0,291.2,92689
304,193.0,288.13,92689
305,500.0,288.23,93199
306,397.0,287.95,93839
307,287.0,287.22,93839
308,174.0,287.79,94477
309,446.0,291.7,94477
310,500.0,294.88,94923
311,238.0,292.26,95499
312,356.0,295.74,95499
313,500.0,297.6,95689
314,500.0,300.77,95689
315,500.0,300.77,95689
316,500.0,305.29,95689
317,64.0,300.93,96201
318,64.0,299.37,96776
319,452.0,299.15,96776
320,289.0,299.09,96776
321,500.0,299.58,96776
322,9.0,296.16,97349
323,134.0,293.42,97349
324,73.0,290.22,97349
325,500.0,292.93,97922
326,47.0,288.67,98498
327,152.0,288.59,98498
328,44.0,284.03,98498
329,210.0,282.42,99135
330,256.0,284.21,99135
331,220.0,281.65,99135
332,295.0,283.17,99135
333,200.0,284.12,99771
334,136.0,281.65,99771
335,29.0,276.94,100345
336,423.0,280.35,100984
337,95.0,277.06,100984
338,500.0,281.34,101558
339,469.0,284.64,102070
340,500.0,287.14,102197
341,500.0,288.46,102197
342,104.0,284.5,102837
343,220.0,282.36,102837
344,278.0,280.14,103475
345,9.0,279.11,104050
346,277.0,276.88,104689
347,87.0,274.56,104689
348,97.0,275.29,104689
349,379.0,274.08,105198
350,500.0,274.08,105325
351,362.0,276.95,105901
352,189.0,277.55,105901
353,500.0,278.21,106539
354,116.0,274.37,106539
355,106.0,271.97,106539
356,38.0,271.76,107113
357,500.0,271.76,107432
358,233.0,269.09,108072
359,339.0,268.85,108072
360,91.0,264.76,108646
361,9.0,261.67,108646
362,500.0,262.83,108708
363,500.0,262.83,108708
364,170.0,262.97,109348
365,54.0,263.31,109348
366,131.0,259.62,109348
367,371.0,259.6,110049
368,324.0,262.55,110049
369,315.0,264.38,110049
370,131.0,261.34,110558
371,500.0,266.15,111069
372,233.0,266.43,111645
373,80.0,262.23,112220
374,65.0,257.88,112795
375,442.0,257.3,112795
376,500.0,259.69,112857
377,195.0,259.5,113433
378,291.0,260.28,114072
379,63.0,259.21,114583
380,500.0,259.21,114710
381,136.0,258.87,115222
382,500.0,258.87,115285
383,206.0,257.2,115989
384,464.0,261.45,115989
385,22.0,259.78,115989
386,12.0,258.48,115989
387,103.0,257.52,116625
388,500.0,258.86,117008
389,129.0,259.3,117584
390,343.0,261.97,117584
391,289.0,264.58,118222
392,64.0,264.37,118797
393,29.0,260.35,119436
394,272.0,258.57,119436
395,500.0,260.49,119498
396,222.0,261.41,120074
397,410.0,265.14,120649
398,500.0,268.93,120712
399,500.0,272.34,120712
400,500.0,273.03,121288
401,500.0,275.86,121288
402,500.0,278.79,121288
403,39.0,277.91,121928
404,500.0,280.98,122439
405,500.0,280.98,122439
406,287.0,279.88,123015
407,374.0,280.75,123015
408,500.0,284.01,123015
409,500.0,284.55,123015
410,500.0,284.55,123525
411,344.0,285.61,124165
412,54.0,282.59,124165
413,420.0,281.79,124739
414,36.0,277.15,124739
415,251.0,274.66,125377
416,46.0,270.12,125377
417,500.0,274.48,125759
418,212.0,275.96,126335
419,454.0,275.98,126335
420,500.0,278.09,126397
421,296.0,276.05,126973
422,107.0,277.03,127484
423,500.0,280.69,127611
424,500.0,284.96,127611
425,181.0,281.77,128187
426,500.0,286.3,128698
427,500.0,289.78,128698
428,89.0,290.23,129210
429,182.0,289.95,129210
430,500.0,292.39,129272
431,500.0,295.19,129272
432,124.0,293.48,129848
433,191.0,293.39,130423
434,210.0,294.13,130423
435,500.0,298.84,131061
436,384.0,298.45,131061
437,246.0,299.96,131700
438,118.0,296.14,131700
439,500.0,296.45,132274
440,29.0,291.74,132274
441,442.0,291.16,132274
442,9.0,290.21,132848
443,92.0,288.93,133487
444,500.0,291.15,133487
445,38.0,291.44,133487
446,38.0,289.05,133487
447,201.0,290.19,134124
448,451.0,293.73,134124
449,38.0,290.32,134124
450,385.0,289.17,134633
451,155.0,287.1,135272
452,192.0,287.13,135272
453,436.0,286.49,135272
454,9.0,285.42,135845
455,257.0,286.93,136484
456,211.0,288.66,136484
457,130.0,284.96,136484
458,500.0,287.63,136609
459,500.0,289.24,137121
460,231.0,290.64,137761
461,49.0,291.04,137761
462,143.0,287.47,138335
463,500.0,287.47,138462
464,250.0,288.27,138974
465,400.0,291.73,138974
466,38.0,290.8,139548
467,161.0,288.7,140123
468,500.0,290.46,140570
469,500.0,292.31,140634
470,500.0,296.0,140634
471,446.0,295.46,141274
472,214.0,295.27,141274
473,500.0,299.47,141274
474,36.0,299.18,141274
475,188.0,296.64,141274
476,132.0,292.96,141274
477,103.0,292.04,141845
478,500.0,294.13,141972
479,39.0,293.89,142612
480,500.0,293.89,142995
481,158.0,294.11,143571
482,500.0,294.11,143571
483,138.0,293.43,144082
484,500.0,293.79,144145
485,9.0,293.66,144721
486,500.0,298.54,144784
487,28.0,297.79,145360
488,298.0,295.77,145360
489,185.0,296.33,145934
490,500.0,297.9,145997
491,19.0,295.2,146573
492,38.0,294.94,147148
