Episode,Episode_Return,Episode_Return_smooth,env_step
1,8.0,8.0,448
2,17.0,12.5,1023
3,26.0,17.0,1598
4,26.0,19.25,1598
5,26.0,20.6,1598
6,9.0,18.666666666666668,2171
7,9.0,17.285714285714285,2171
8,44.0,20.625,2745
9,54.0,24.333333333333332,3384
10,54.0,27.3,3384
11,54.0,29.727272727272727,3384
12,54.0,31.75,3384
13,54.0,33.46153846153846,3384
14,62.0,35.5,3891
15,53.0,36.666666666666664,4402
16,79.0,39.3125,4977
17,79.0,41.64705882352941,4977
18,79.0,43.72222222222222,4977
19,88.0,46.05263157894737,5550
20,88.0,48.15,5550
21,97.0,50.476190476190474,6124
22,62.0,51.0,6699
23,115.0,53.78260869565217,7274
24,115.0,56.333333333333336,7274
25,80.0,57.28,7274
26,125.0,59.88461538461539,7911
27,19.0,58.370370370370374,7911
28,125.0,60.75,7911
29,125.0,62.96551724137931,7911
30,55.0,62.7,7911
31,134.0,65.0,8482
32,134.0,67.15625,8482
33,143.0,69.45454545454545,9056
34,91.0,70.08823529411765,9695
35,65.0,69.94285714285714,9695
36,28.0,68.77777777777777,9695
37,19.0,67.43243243243244,9695
38,162.0,69.92105263157895,10267
39,172.0,72.53846153846153,10906
40,47.0,71.9,10906
41,118.0,73.02439024390245,10906
42,172.0,75.38095238095238,10906
43,172.0,77.62790697674419,10906
44,172.0,79.77272727272727,10906
45,182.0,82.04444444444445,11540
46,57.0,81.5,11540
47,191.0,83.82978723404256,12114
48,191.0,86.0625,12114
49,201.0,88.40816326530613,12752
50,175.0,90.14,12752
51,76.0,89.86274509803921,12752
52,113.0,90.3076923076923,13325
53,218.0,92.71698113207547,13836
54,218.0,95.03703703703704,13836
55,9.0,93.47272727272727,14410
56,237.0,96.03571428571429,15049
57,121.0,96.47368421052632,15624
58,74.0,96.08620689655173,15624
59,9.0,94.61016949152543,16198
60,55.0,93.95,16837
61,265.0,96.75409836065573,16837
62,265.0,99.46774193548387,16837
63,93.0,99.36507936507937,17474
64,169.0,100.453125,18049
65,83.0,100.18461538461538,18049
66,19.0,98.95454545454545,18049
67,139.0,99.55223880597015,18558
68,301.0,102.51470588235294,19133
69,120.0,102.76811594202898,19772
70,321.0,105.88571428571429,20411
71,242.0,107.80281690140845,20411
72,168.0,108.63888888888889,20411
73,321.0,111.54794520547945,20411
74,206.0,112.82432432432432,20411
75,330.0,115.72,20982
76,46.0,114.80263157894737,20982
77,330.0,117.59740259740259,20982
78,339.0,120.43589743589743,21555
79,285.0,122.51898734177215,21555
80,348.0,125.3375,22129
81,56.0,124.48148148148148,22129
82,356.0,127.3048780487805,22639
83,221.0,128.43373493975903,23150
84,34.0,127.30952380952381,23725
85,10.0,125.92941176470588,24364
86,304.0,128.0,24364
87,19.0,126.74712643678161,24364
88,337.0,129.13636363636363,24873
89,80.0,128.58426966292134,25512
90,401.0,131.61111111111111,25512
91,238.0,132.78021978021977,26086
92,257.0,134.1304347826087,26086
93,9.0,132.78494623655914,26660
94,427.0,135.91489361702128,27171
95,348.0,138.14736842105262,27746
96,444.0,141.33333333333334,28257
97,390.0,143.89690721649484,28257
98,453.0,147.05102040816325,28831
99,252.0,148.11111111111111,28831
100,141.0,148.04,29405
101,151.0,149.47,29405
102,71.0,150.01,30043
103,19.0,149.94,30043
104,472.0,154.4,30043
105,319.0,157.33,30043
106,9.0,157.33,30615
107,8.0,157.32,31126
108,159.0,158.47,31701
109,500.0,162.93,31828
110,500.0,167.39,31828
111,500.0,171.85,31828
112,500.0,176.31,31828
113,500.0,180.77,31828
114,500.0,185.15,31828
115,500.0,189.62,31828
116,500.0,193.83,31828
117,500.0,198.04,31828
118,500.0,202.25,31828
119,500.0,206.37,31828
120,500.0,210.49,32340
121,74.0,210.26,32980
122,346.0,213.1,32980
123,197.0,213.92,32980
124,144.0,214.21,33553
125,500.0,218.41,34064
126,308.0,220.24,34704
127,215.0,222.2,34704
128,10.0,221.05,34704
129,135.0,221.15,35277
130,224.0,222.84,35277
131,500.0,226.5,35277
132,18.0,225.34,35851
133,233.0,226.24,35851
134,181.0,227.14,36425
135,9.0,226.58,36425
136,500.0,231.3,36871
137,15.0,231.26,37383
138,194.0,231.58,37894
139,50.0,230.36,37894
140,386.0,233.75,38468
141,431.0,236.88,39043
142,141.0,236.57,39043
143,500.0,239.85,39169
144,52.0,238.65,39745
145,45.0,237.28,39745
146,285.0,239.56,40319
147,133.0,238.98,40319
148,500.0,242.07,40381
149,322.0,243.28,40957
150,322.0,244.75,40957
151,152.0,245.51,41531
152,471.0,249.09,42170
153,500.0,251.91,42170
154,75.0,250.48,42170
155,46.0,250.85,42680
156,500.0,253.48,42807
157,500.0,257.27,42807
158,500.0,261.53,42807
159,135.0,262.79,43319
160,188.0,264.12,43830
161,63.0,262.1,44341
162,500.0,264.45,44660
163,483.0,268.35,45236
164,219.0,268.85,45811
165,228.0,270.3,46386
166,444.0,274.55,46386
167,49.0,273.65,46960
168,500.0,275.64,47535
169,500.0,279.44,48111
170,320.0,279.43,48687
171,500.0,282.01,48750
172,500.0,285.33,48750
173,273.0,284.85,49262
174,500.0,287.79,49389
175,500.0,289.49,49965
176,321.0,292.24,50541
177,275.0,291.69,50541
178,500.0,293.3,51051
179,177.0,292.22,51691
180,257.0,291.31,51691
181,401.0,294.76,51691
182,176.0,292.96,52200
183,233.0,293.08,52775
184,222.0,294.96,53350
185,365.0,298.51,53350
186,242.0,297.89,53924
187,283.0,300.53,53924
188,500.0,302.16,54050
189,500.0,306.36,54562
190,169.0,304.04,55138
191,366.0,305.32,55713
192,500.0,307.75,56288
193,500.0,312.66,56288
194,365.0,312.04,56288
195,248.0,311.04,56799
196,18.0,306.78,57438
197,240.0,305.28,58013
198,457.0,305.32,58588
199,126.0,304.06,58588
200,500.0,307.65,59098
201,427.0,310.41,59098
202,500.0,314.7,59673
203,99.0,315.5,59673
204,171.0,312.49,59673
205,264.0,311.94,59673
206,409.0,315.94,59673
207,161.0,317.47,60245
208,500.0,320.88,60756
209,116.0,317.04,60756
210,70.0,312.74,61267
211,500.0,312.74,61330
212,206.0,309.8,61906
213,473.0,309.53,61906
214,207.0,306.6,62480
215,70.0,302.3,62480
216,161.0,298.91,62480
217,488.0,298.79,62989
218,52.0,294.31,62989
219,393.0,293.24,62989
220,500.0,293.24,63050
221,9.0,292.59,63562
222,500.0,294.13,63753
223,500.0,297.16,63753
224,500.0,300.72,63753
225,272.0,298.44,64329
226,500.0,300.36,64904
227,415.0,302.36,65543
228,235.0,304.61,65543
229,92.0,304.18,65543
230,404.0,305.98,65543
231,50.0,301.48,66179
232,20.0,301.5,66179
233,376.0,302.93,66179
234,329.0,304.41,66816
235,129.0,305.61,66816
236,87.0,301.48,66816
237,273.0,304.06,66816
238,500.0,307.12,67196
239,500.0,311.62,67196
240,15.0,307.91,67772
241,66.0,304.26,67772
242,35.0,303.2,68410
243,401.0,302.21,68410
244,309.0,304.78,68410
