Episode,Episode_Return,Episode_Return_smooth,env_step
1,10.0,10.0,576
2,10.0,10.0,576
3,10.0,10.0,576
4,19.0,12.25,1149
5,28.0,15.4,1724
6,28.0,17.5,1724
7,36.0,20.142857142857142,2234
8,17.0,19.75,2809
9,45.0,22.555555555555557,2809
10,54.0,25.7,3383
11,62.0,29.0,3894
12,62.0,31.75,3894
13,34.0,31.923076923076923,4404
14,79.0,35.285714285714285,4979
15,89.0,38.86666666666667,5618
16,89.0,42.0,5618
17,89.0,44.76470588235294,5618
18,79.0,46.666666666666664,5618
19,53.0,47.0,6190
20,98.0,49.55,6190
21,107.0,52.285714285714285,6764
22,107.0,54.77272727272727,6764
23,107.0,57.04347826086956,6764
24,107.0,59.125,6764
25,107.0,61.04,6764
26,116.0,63.15384615384615,7335
27,116.0,65.11111111111111,7335
28,125.0,67.25,7909
29,125.0,69.24137931034483,7909
30,44.0,68.4,8419
31,44.0,67.61290322580645,8419
32,143.0,69.96875,9057
33,143.0,72.18181818181819,9057
34,143.0,74.26470588235294,9057
35,81.0,74.45714285714286,9057
36,152.0,76.61111111111111,9629
37,152.0,78.64864864864865,9629
38,9.0,76.8157894736842,10203
39,45.0,76.0,10778
40,178.0,78.55,11289
41,177.0,80.95121951219512,11864
42,187.0,83.47619047619048,11864
43,187.0,85.88372093023256,11864
44,187.0,88.18181818181819,11864
45,195.0,90.55555555555556,12372
46,203.0,93.0,12883
47,150.0,94.2127659574468,13458
48,26.0,92.79166666666667,14033
49,78.0,92.48979591836735,14033
50,60.0,91.84,14607
51,239.0,94.72549019607843,15182
52,114.0,95.09615384615384,15182
53,248.0,97.98113207547169,15756
54,239.0,100.5925925925926,16395
55,142.0,101.34545454545454,16395
56,258.0,104.14285714285714,16395
57,28.0,102.80701754385964,16395
58,197.0,104.43103448275862,16967
59,267.0,107.1864406779661,16967
60,134.0,107.63333333333334,16967
61,257.0,110.08196721311475,16967
62,267.0,112.61290322580645,16967
63,169.0,113.5079365079365,17538
64,160.0,114.234375,17538
65,37.0,113.04615384615384,17538
66,27.0,111.74242424242425,18111
67,295.0,114.4776119402985,18750
68,241.0,116.33823529411765,18750
69,303.0,119.04347826086956,19260
70,214.0,120.4,19835
71,205.0,121.59154929577464,19835
72,54.0,120.65277777777777,20409
73,26.0,119.35616438356165,20920
74,231.0,120.86486486486487,21495
75,347.0,123.88,22070
76,43.0,122.8157894736842,22581
77,177.0,123.51948051948052,23156
78,364.0,126.6025641025641,23156
79,143.0,126.81012658227849,23156
80,373.0,129.8875,23729
81,106.0,129.59259259259258,23729
82,212.0,130.59756097560975,23729
83,294.0,132.56626506024097,24366
84,383.0,135.54761904761904,24366
85,363.0,138.2235294117647,24876
86,27.0,136.93023255813952,25451
87,400.0,139.95402298850576,25451
88,196.0,140.5909090909091,25961
89,239.0,141.69662921348313,26536
90,417.0,144.75555555555556,26536
91,18.0,143.36263736263737,27110
92,434.0,146.52173913043478,27621
93,194.0,147.03225806451613,28132
94,451.0,150.2659574468085,28707
95,156.0,150.32631578947368,28707
96,8.0,148.84375,29217
97,469.0,152.1443298969072,29856
98,282.0,153.46938775510205,29856
99,478.0,156.74747474747474,30430
100,46.0,155.64,31069
101,488.0,160.42,31069
102,353.0,163.85,31579
103,500.0,168.75,31834
104,500.0,173.56,31834
105,500.0,178.28,31834
106,500.0,183.0,31834
