Episode,Episode_Return,Episode_Return_smooth,env_step
1,9.0,9.0,512
2,19.0,14.0,1151
3,19.0,15.666666666666666,1151
4,19.0,16.5,1151
5,30.0,19.2,1852
6,30.0,21.0,1852
7,30.0,22.285714285714285,1852
8,30.0,23.25,1852
9,30.0,24.0,1852
10,39.0,25.5,2423
11,39.0,26.727272727272727,2423
12,39.0,27.75,2423
13,49.0,29.384615384615383,3060
14,58.0,31.428571428571427,3635
15,58.0,33.2,3635
16,37.0,33.4375,4209
17,76.0,35.94117647058823,4784
18,85.0,38.666666666666664,5359
19,66.0,40.10526315789474,6062
20,96.0,42.9,6062
21,96.0,45.42857142857143,6062
22,67.0,46.40909090909091,6699
23,87.0,48.17391304347826,6699
24,19.0,46.958333333333336,7273
25,125.0,50.08,7912
26,133.0,53.26923076923077,8423
27,133.0,56.22222222222222,8423
28,18.0,54.857142857142854,9061
29,152.0,58.206896551724135,9636
30,152.0,61.333333333333336,9636
31,8.0,59.61290322580645,10146
32,169.0,63.03125,10721
33,149.0,65.63636363636364,11360
34,179.0,68.97058823529412,11360
35,159.0,71.54285714285714,11998
36,178.0,74.5,12509
37,206.0,78.05405405405405,13084
38,215.0,81.65789473684211,13659
39,224.0,85.3076923076923,14234
40,224.0,88.775,14234
41,234.0,92.3170731707317,14872
42,234.0,95.69047619047619,14872
43,28.0,94.11627906976744,14872
44,243.0,97.5,15445
45,234.0,100.53333333333333,15445
46,204.0,102.78260869565217,15445
47,109.0,102.91489361702128,16018
48,18.0,101.14583333333333,16018
49,252.0,104.22448979591837,16018
50,260.0,107.34,16527
51,174.0,108.6470588235294,17166
52,270.0,111.75,17166
53,241.0,114.18867924528301,17804
54,280.0,117.25925925925925,17804
55,10.0,115.30909090909091,17804
56,28.0,113.75,17804
57,130.0,114.03508771929825,18440
58,299.0,117.22413793103448,19015
59,66.0,116.35593220338983,19654
60,309.0,119.56666666666666,19654
61,94.0,119.14754098360656,20228
62,48.0,118.0,20867
63,328.0,121.33333333333333,20867
64,338.0,124.71875,21505
65,22.0,123.13846153846154,22272
66,70.0,122.33333333333333,22272
67,12.0,120.68656716417911,22272
68,292.0,123.20588235294117,22272
69,116.0,123.10144927536231,22272
70,161.0,123.64285714285714,22272
71,180.0,124.43661971830986,22842
72,19.0,122.97222222222223,23481
73,369.0,126.34246575342466,23481
74,60.0,125.44594594594595,23481
75,28.0,124.14666666666666,24054
76,387.0,127.60526315789474,24629
77,127.0,127.59740259740259,24629
78,217.0,128.74358974358975,25203
79,405.0,132.2405063291139,25778
80,405.0,135.65,25778
81,299.0,137.66666666666666,26352
82,134.0,137.6219512195122,26352
83,395.0,140.72289156626505,27054
84,433.0,144.20238095238096,27565
85,442.0,147.7058823529412,28140
86,161.0,147.86046511627907,28715
87,432.0,151.1264367816092,28715
88,208.0,151.77272727272728,29289
89,161.0,151.87640449438203,29928
90,110.0,151.4111111111111,30503
91,488.0,155.1098901098901,31078
92,497.0,158.82608695652175,31653
93,500.0,162.49462365591398,31844
94,500.0,166.08510638297872,31844
95,500.0,169.6,31844
96,500.0,173.04166666666666,31844
97,500.0,176.41237113402062,31844
98,500.0,179.71428571428572,31844
99,500.0,182.94949494949495,31844
100,500.0,186.12,31844
101,500.0,191.03,31844
102,500.0,195.84,31844
103,500.0,200.65,31844
104,500.0,205.46,31844
105,500.0,210.16,31844
106,500.0,214.86,31844
107,500.0,219.56,31844
108,10.0,219.36,32484
109,171.0,220.77,33187
110,42.0,220.8,33187
111,162.0,222.03,33187
112,116.0,222.8,33760
113,51.0,222.82,34335
114,314.0,225.38,34910
115,500.0,229.8,34973
116,500.0,234.43,35549
117,461.0,238.28,36125
118,162.0,239.05,36125
119,491.0,243.3,36125
120,500.0,247.34,36125
121,352.0,249.9,36698
122,226.0,251.49,36698
123,180.0,252.42,36698
124,500.0,257.23,37271
125,388.0,259.86,37271
126,296.0,261.49,37910
127,170.0,261.86,37910
128,28.0,261.96,37910
129,500.0,265.44,37971
130,190.0,265.82,38483
131,500.0,270.74,38610
132,39.0,269.44,39186
133,124.0,269.19,39761
134,381.0,271.21,39761
135,136.0,270.98,40335
136,500.0,274.2,40335
137,500.0,277.14,40335
138,237.0,277.36,40910
139,36.0,275.48,41485
140,500.0,278.24,41548
141,84.0,276.74,42060
142,111.0,275.51,42635
143,500.0,280.23,42635
144,111.0,278.91,43210
145,27.0,276.84,43210
146,318.0,277.98,43784
147,236.0,279.25,44359
148,337.0,282.44,44998
149,82.0,280.74,44998
150,111.0,279.25,44998
151,46.0,277.97,45571
152,500.0,280.27,45571
153,224.0,280.1,46146
154,224.0,279.54,46146
155,301.0,282.45,46784
156,101.0,283.18,46784
157,234.0,284.22,46784
158,500.0,286.23,47357
159,393.0,289.5,47357
160,309.0,289.5,47868
161,500.0,293.56,47931
162,222.0,295.3,48507
163,109.0,293.11,48507
164,10.0,289.83,48507
165,500.0,294.61,49080
166,26.0,294.17,49592
167,500.0,299.05,49719
168,221.0,298.34,50231
169,19.0,297.37,50806
170,337.0,299.13,51445
171,297.0,300.3,51445
172,92.0,301.03,51445
173,438.0,301.72,52018
174,36.0,301.48,52018
175,220.0,303.4,52018
176,500.0,304.53,52143
177,8.0,303.34,52655
178,500.0,306.17,52782
179,41.0,302.53,53422
180,387.0,302.35,53422
181,189.0,301.25,54124
182,245.0,302.36,54124
183,264.0,301.05,54124
184,319.0,299.91,54124
185,500.0,300.49,54184
186,71.0,299.59,54760
187,126.0,296.53,55399
188,145.0,295.9,55399
189,201.0,296.3,56037
190,379.0,298.99,56037
191,500.0,299.11,56547
192,500.0,299.14,56547
193,263.0,296.77,57123
194,126.0,293.03,57123
195,329.0,291.32,57123
196,384.0,290.16,57696
197,339.0,288.55,58335
198,209.0,285.64,58335
199,320.0,283.84,58335
200,190.0,280.74,58908
201,75.0,276.49,58908
202,228.0,273.77,59546
203,85.0,269.62,59546
204,85.0,265.47,59546
205,65.0,261.12,59546
206,395.0,260.07,60182
207,500.0,260.07,60629
208,254.0,262.51,61205
209,365.0,264.45,61908
210,164.0,265.67,61908
211,47.0,264.52,61908
212,481.0,268.17,62545
213,47.0,268.13,62545
214,141.0,266.4,63119
215,500.0,266.4,63758
216,500.0,266.4,63758
217,500.0,266.79,63758
218,500.0,270.17,63758
219,500.0,270.26,63758
220,500.0,270.26,63758
221,500.0,271.74,63758
222,500.0,274.48,63758
223,202.0,274.7,64334
224,385.0,273.55,64334
225,94.0,270.61,64334
226,103.0,268.68,64907
227,500.0,271.98,65098
228,500.0,276.7,65098
229,21.0,271.91,65674
230,135.0,271.36,66313
231,125.0,267.61,66313
232,40.0,267.62,66313
233,500.0,271.38,66822
234,56.0,268.13,67334
235,115.0,267.92,67973
236,66.0,263.58,67973
237,48.0,259.06,67973
238,332.0,260.01,68546
239,225.0,261.9,68546
240,44.0,257.34,69120
241,500.0,261.5,69183
242,334.0,263.73,69823
243,500.0,263.73,69823
244,95.0,263.57,69823
245,124.0,264.54,69823
246,74.0,262.1,69823
247,371.0,263.45,69823
248,279.0,262.87,69823
249,134.0,263.39,70457
250,279.0,265.07,70457
251,39.0,265.0,70457
252,181.0,261.81,71094
253,308.0,262.65,71669
254,500.0,265.41,72244
255,500.0,267.4,72820
256,67.0,267.06,72820
257,191.0,266.63,73395
258,151.0,263.14,73395
259,76.0,259.97,73395
260,171.0,258.59,74032
261,500.0,258.59,74543
262,500.0,261.37,75119
263,500.0,265.28,75695
264,166.0,266.84,75695
265,100.0,262.84,76206
266,500.0,267.58,76269
267,44.0,263.02,76845
268,271.0,263.52,76845
269,36.0,263.69,77419
270,386.0,264.18,77419
271,500.0,266.21,77481
272,18.0,265.47,77993
273,224.0,263.33,78632
274,109.0,264.06,78632
275,37.0,262.23,78632
276,19.0,257.42,78632
277,185.0,259.19,78632
278,500.0,259.19,78691
279,500.0,263.78,78691
280,139.0,261.3,79331
281,271.0,262.12,79842
282,177.0,261.44,80417
283,500.0,263.8,80417
284,9.0,260.7,80417
285,500.0,260.7,80417
286,336.0,263.35,80991
287,355.0,265.64,81566
288,92.0,265.11,81566
289,128.0,264.38,81566
290,233.0,262.92,82203
291,460.0,262.52,82778
292,500.0,262.52,83353
293,500.0,264.89,83929
294,66.0,264.29,84633
295,185.0,262.85,84633
296,66.0,259.67,85207
297,57.0,256.85,85207
298,167.0,256.43,85207
299,500.0,258.23,85332
300,478.0,261.11,85908
301,252.0,262.88,85908
302,205.0,262.65,86482
303,500.0,266.8,86673
304,489.0,270.84,87249
305,328.0,273.47,87249
306,498.0,274.5,87823
307,236.0,271.86,88462
308,51.0,269.83,88462
309,500.0,271.18,88462
310,500.0,274.54,88462
311,39.0,274.46,88972
312,500.0,274.65,89035
313,500.0,279.18,89035
314,500.0,282.77,89035
315,10.0,277.87,89675
316,20.0,273.07,90314
317,29.0,268.36,90314
318,183.0,265.19,90314
319,330.0,263.49,90887
320,211.0,260.6,90887
321,426.0,259.86,91525
322,500.0,259.86,92100
323,115.0,258.99,92676
324,218.0,257.32,93251
325,491.0,261.29,93251
326,356.0,263.82,93825
327,245.0,261.27,94336
328,500.0,261.27,94463
329,65.0,261.71,95039
330,28.0,260.64,95039
331,131.0,260.7,95613
332,500.0,265.3,95676
333,500.0,265.3,95676
334,500.0,269.74,95676
335,480.0,273.39,96316
336,277.0,275.5,96316
337,86.0,275.88,97018
338,306.0,275.62,97018
339,134.0,274.71,97018
340,153.0,275.8,97018
341,335.0,274.15,97590
342,317.0,273.98,98229
343,40.0,269.38,98229
344,500.0,273.43,98229
345,444.0,276.63,98802
346,491.0,280.8,99313
347,207.0,279.16,99888
348,500.0,281.37,99888
349,64.0,280.67,100399
350,177.0,279.65,100974
351,256.0,281.82,100974
352,500.0,285.01,101100
353,333.0,285.26,101676
354,500.0,285.26,101739
355,500.0,285.26,101739
356,500.0,289.59,101739
357,500.0,292.68,101739
358,83.0,292.0,102315
359,9.0,291.33,102315
360,9.0,289.71,102315
361,500.0,289.71,102376
362,238.0,287.09,103016
363,30.0,282.39,103016
364,336.0,284.09,103016
365,483.0,287.92,103653
366,500.0,287.92,104164
367,60.0,288.08,104804
368,132.0,286.69,105443
369,49.0,286.82,105443
370,419.0,287.15,105443
371,113.0,283.28,106016
372,56.0,283.66,106591
373,76.0,282.18,106591
374,384.0,284.93,107293
375,500.0,289.56,107612
376,309.0,292.46,108188
377,500.0,295.61,108763
378,320.0,293.81,109467
379,54.0,289.35,109467
380,255.0,290.51,110105
381,493.0,292.73,110105
382,186.0,292.82,110105
383,500.0,292.82,110550
384,500.0,297.73,110550
385,223.0,294.96,111254
386,212.0,293.72,111765
387,344.0,293.61,112276
388,500.0,297.69,112339
389,500.0,301.41,112339
390,290.0,301.98,112979
391,500.0,302.38,113490
392,92.0,298.3,114066
393,500.0,298.3,114129
394,39.0,298.03,114769
395,500.0,301.18,115280
396,275.0,303.27,115792
397,500.0,307.7,115855
398,480.0,310.83,116559
399,500.0,310.83,116559
400,500.0,311.05,117134
401,500.0,313.53,117134
402,56.0,312.04,117646
403,500.0,312.04,117837
404,291.0,310.06,118477
405,131.0,308.09,118477
406,251.0,305.62,119051
407,40.0,303.66,119690
408,205.0,305.2,119690
409,414.0,304.34,119690
410,292.0,302.26,120327
411,50.0,302.37,120327
412,500.0,302.37,120389
413,500.0,302.37,120901
414,384.0,301.21,121541
415,414.0,305.25,122116
416,500.0,310.05,122243
417,500.0,314.76,122243
418,500.0,317.93,122819
419,108.0,315.71,123459
420,174.0,315.34,123459
421,500.0,316.08,124033
422,36.0,311.44,124545
423,500.0,315.29,124608
424,218.0,315.29,125184
425,246.0,312.84,125823
426,201.0,311.29,125823
427,500.0,313.84,126269
428,37.0,309.21,126909
429,500.0,313.56,126972
430,500.0,318.28,126972
431,500.0,321.97,127548
432,500.0,321.97,127612
433,293.0,319.9,128188
434,500.0,319.9,128251
435,204.0,317.14,128891
436,57.0,314.94,129466
437,500.0,319.08,129529
438,174.0,317.76,130169
439,225.0,318.67,130169
440,49.0,317.63,130743
441,205.0,316.33,130743
442,500.0,318.16,131253
443,500.0,322.76,131829
444,500.0,322.76,132341
445,500.0,323.32,132917
446,113.0,319.54,133493
447,500.0,322.47,133684
448,500.0,322.47,134260
449,500.0,326.83,134260
450,500.0,330.06,134324
451,381.0,331.31,134900
452,228.0,328.59,134900
453,500.0,330.26,134962
454,472.0,329.98,135602
455,500.0,329.98,135602
456,85.0,325.83,135602
457,500.0,325.83,136112
458,47.0,325.47,136688
459,500.0,330.38,136751
460,500.0,335.29,137391
461,500.0,335.29,137391
462,335.0,336.26,137967
463,500.0,340.96,138542
464,114.0,338.74,139118
465,160.0,335.51,139118
466,500.0,335.51,139244
467,500.0,339.91,139564
468,158.0,340.17,140268
469,84.0,340.52,140268
470,500.0,341.33,140714
471,252.0,342.72,141290
472,500.0,347.16,141417
473,236.0,348.76,141993
474,500.0,349.92,142056
475,500.0,349.92,142504
476,434.0,351.17,143016
477,178.0,347.95,143719
478,500.0,349.75,143719
479,54.0,349.75,143719
480,500.0,352.2,144293
481,491.0,352.18,144869
482,55.0,350.87,145508
483,500.0,350.87,146083
484,146.0,347.33,146083
485,206.0,347.16,146083
486,354.0,348.58,146657
487,500.0,350.14,146720
488,67.0,345.81,147296
489,422.0,345.03,147871
490,225.0,344.38,147871
491,277.0,342.15,148445
492,37.0,341.6,149084
493,221.0,338.81,149084
494,94.0,339.36,149722
495,316.0,337.52,149722
496,94.0,335.71,149722
497,500.0,335.71,149783
498,95.0,331.86,150359
499,431.0,331.17,150359
500,500.0,331.17,150421
501,500.0,331.17,150421
502,69.0,331.3,151061
503,377.0,330.07,151061
504,500.0,332.16,151635
505,500.0,335.85,151635
506,500.0,338.34,151635
507,9.0,338.03,152211
508,500.0,340.98,152274
509,500.0,341.84,152338
510,23.0,339.15,153106
511,409.0,342.74,153106
512,485.0,342.59,153106
513,53.0,338.12,153106
514,500.0,339.28,153486
515,98.0,336.12,154126
516,135.0,332.47,154126
517,500.0,332.47,154188
518,79.0,328.26,154764
519,49.0,327.67,155339
520,500.0,330.93,155402
521,500.0,330.93,155402
522,434.0,334.91,155978
523,387.0,333.78,155978
524,302.0,334.62,155978
525,500.0,337.16,156551
526,96.0,336.11,156551
