Episode,Episode_Return,Episode_Return_smooth,env_step
1,9.0,9.0,512
2,19.0,14.0,1151
3,28.0,18.666666666666668,1726
4,28.0,21.0,1726
5,37.0,24.2,2300
6,47.0,28.0,2939
7,47.0,30.714285714285715,2939
8,10.0,28.125,2939
9,57.0,31.333333333333332,3576
10,66.0,34.8,4151
11,75.0,38.45454545454545,4726
12,75.0,41.5,4726
13,75.0,44.07692307692308,4726
14,75.0,46.285714285714285,4726
15,83.0,48.733333333333334,5234
16,84.0,50.9375,5873
17,93.0,53.411764705882355,5873
18,93.0,55.611111111111114,5873
19,9.0,53.1578947368421,6446
20,112.0,56.1,7085
21,55.0,56.04761904761905,7085
22,37.0,55.18181818181818,7085
23,122.0,58.08695652173913,7722
24,122.0,60.75,7722
25,131.0,63.56,8296
26,84.0,64.34615384615384,8296
27,139.0,67.11111111111111,8806
28,148.0,70.0,9381
29,157.0,73.0,9956
30,166.0,76.1,10531
31,166.0,79.0,10531
32,176.0,82.03125,11169
33,186.0,85.18181818181819,11808
34,83.0,85.11764705882354,12383
35,204.0,88.51428571428572,12958
36,214.0,92.0,13597
37,177.0,94.29729729729729,14236
38,159.0,96.0,14875
39,234.0,99.53846153846153,14875
40,178.0,101.5,15513
41,244.0,104.97560975609755,15513
42,170.0,106.52380952380952,16087
43,188.0,108.4186046511628,16726
44,68.0,107.5,16726
45,263.0,110.95555555555555,16726
46,106.0,110.84782608695652,17299
47,225.0,113.27659574468085,17299
48,281.0,116.77083333333333,17873
49,168.0,117.81632653061224,18448
50,198.0,119.42,19087
51,310.0,123.15686274509804,19726
52,153.0,123.73076923076923,20301
53,328.0,127.58490566037736,20876
54,338.0,131.4814814814815,21515
55,338.0,135.23636363636365,21515
56,348.0,139.03571428571428,22153
57,358.0,142.87719298245614,22792
58,228.0,144.3448275862069,23367
59,115.0,143.84745762711864,24070
60,359.0,147.43333333333334,24645
61,195.0,148.21311475409837,25412
62,306.0,150.75806451612902,25412
63,315.0,153.36507936507937,25986
64,408.0,157.34375,25986
65,41.0,155.55384615384617,26688
66,139.0,155.3030303030303,27327
67,19.0,153.26865671641792,27902
68,317.0,155.6764705882353,28541
69,157.0,155.69565217391303,29116
70,119.0,155.17142857142858,29116
71,467.0,159.56338028169014,29754
72,467.0,163.83333333333334,29754
73,68.0,162.5205479452055,30328
74,411.0,165.8783783783784,30967
75,486.0,170.14666666666668,30967
76,496.0,174.43421052631578,31605
77,97.0,173.42857142857142,31605
78,233.0,174.19230769230768,31605
79,500.0,178.31645569620252,31858
80,500.0,182.3375,31858
81,500.0,186.25925925925927,31858
82,500.0,190.08536585365854,31858
83,500.0,193.81927710843374,31858
84,500.0,197.46428571428572,31858
85,500.0,201.0235294117647,31858
86,500.0,204.5,31858
87,500.0,207.89655172413794,31858
88,500.0,211.2159090909091,31858
89,500.0,214.46067415730337,31858
90,500.0,217.63333333333333,31858
91,500.0,220.73626373626374,31858
92,500.0,223.77173913043478,31858
93,500.0,226.74193548387098,31858
94,500.0,229.64893617021278,31858
95,500.0,232.49473684210525,31858
96,500.0,235.28125,31858
97,500.0,238.01030927835052,31858
98,500.0,240.68367346938774,31858
99,145.0,239.7171717171717,32626
100,390.0,241.22,32626
101,16.0,241.29,32626
102,164.0,242.74,32626
103,12.0,242.58,32626
104,55.0,242.85,32626
105,500.0,247.48,33068
106,500.0,252.01,33644
107,32.0,251.86,33644
108,52.0,252.28,34283
109,275.0,254.46,34283
110,38.0,254.18,34283
111,46.0,253.89,34792
112,284.0,255.98,35431
113,303.0,258.26,35431
114,178.0,259.29,36005
115,379.0,262.25,36005
116,145.0,262.86,36579
117,98.0,262.91,36579
118,236.0,264.34,36579
119,312.0,267.37,37216
120,18.0,266.43,37727
121,45.0,266.33,38302
122,489.0,270.85,38302
123,329.0,272.92,38876
124,500.0,276.7,39003
125,122.0,276.61,39643
126,122.0,276.99,39643
127,165.0,277.25,39643
128,500.0,280.77,40216
129,129.0,280.49,40856
130,141.0,280.24,40856
131,500.0,283.58,41302
132,500.0,286.82,41878
133,157.0,286.53,41878
134,10.0,285.8,42517
135,500.0,288.76,43092
136,462.0,291.24,43732
137,121.0,290.68,43732
138,278.0,291.87,43732
139,54.0,290.07,44305
140,205.0,290.34,44944
141,500.0,292.9,45519
142,132.0,292.52,46159
143,76.0,291.4,46734
144,500.0,295.72,46797
145,500.0,298.09,46797
146,500.0,302.03,47437
147,306.0,302.84,47437
148,500.0,305.03,47437
149,179.0,305.14,47437
150,254.0,305.7,48075
151,132.0,303.92,48075
152,20.0,302.59,48075
153,123.0,300.54,48075
154,141.0,298.57,48647
155,190.0,297.09,49350
156,307.0,296.68,49350
157,283.0,295.93,49924
158,38.0,294.03,50499
159,302.0,295.9,51138
160,107.0,293.38,51138
161,302.0,294.45,51138
162,302.0,294.41,51138
163,500.0,296.26,51646
164,500.0,297.18,52222
165,500.0,301.77,52798
166,326.0,303.64,53438
167,390.0,307.35,53438
168,274.0,306.92,54076
169,236.0,307.71,54076
170,226.0,308.78,54076
171,28.0,304.39,54585
172,500.0,304.72,54712
173,356.0,307.6,55352
174,123.0,304.72,55927
175,365.0,303.51,55927
176,39.0,298.94,56565
177,359.0,301.56,56565
178,341.0,302.64,56565
179,143.0,299.07,56565
180,10.0,294.17,57201
181,500.0,294.17,57328
182,373.0,292.9,58096
183,177.0,289.67,58735
184,412.0,288.79,59374
185,148.0,285.27,59374
186,209.0,282.36,60076
187,104.0,278.4,60076
188,341.0,276.81,60076
189,475.0,276.56,60076
190,386.0,275.42,60076
191,149.0,271.91,60647
192,459.0,271.5,61158
193,101.0,267.51,61158
194,216.0,264.67,61860
195,28.0,259.95,61860
196,218.0,257.13,62562
197,104.0,253.17,62562
198,500.0,253.17,62880
199,319.0,254.91,63456
200,500.0,256.01,63519
201,500.0,260.85,63775
202,500.0,264.21,63775
203,500.0,269.09,63775
204,500.0,273.54,63775
205,500.0,273.54,63775
206,500.0,273.54,63775
207,266.0,275.88,64415
208,500.0,280.36,64542
209,500.0,282.61,64542
210,336.0,285.59,65182
211,91.0,286.04,65182
212,500.0,288.2,65564
213,25.0,285.42,66140
214,500.0,288.64,66203
215,500.0,289.85,66203
216,106.0,289.46,66843
217,448.0,292.96,67482
218,58.0,291.18,67482
219,363.0,291.69,68120
220,420.0,295.71,68120
221,500.0,300.26,68502
222,485.0,300.22,69270
223,59.0,297.52,69973
224,29.0,292.81,69973
225,287.0,294.46,69973
226,323.0,296.47,69973
227,354.0,298.36,70673
228,306.0,296.42,70673
229,113.0,296.26,70673
230,394.0,298.79,70673
231,11.0,293.9,70673
232,97.0,289.87,71372
233,160.0,289.9,71372
234,119.0,290.99,71372
235,91.0,286.9,71372
236,9.0,282.37,71944
237,326.0,284.42,71944
238,11.0,281.75,72646
239,252.0,283.73,72646
240,500.0,286.68,72772
241,302.0,284.7,73348
242,175.0,285.13,74051
243,11.0,284.48,74051
244,369.0,283.17,74051
245,22.0,278.39,74051
246,240.0,275.79,74051
247,500.0,277.73,74430
248,217.0,274.9,75006
249,77.0,273.88,75581
250,500.0,276.34,75644
251,500.0,280.02,75644
252,339.0,283.21,76220
253,131.0,283.29,76859
254,157.0,283.45,76859
255,214.0,283.69,77433
256,500.0,285.62,78072
257,282.0,285.61,78072
258,224.0,287.47,78072
259,500.0,289.45,78710
260,386.0,292.24,78710
261,500.0,294.22,79349
262,215.0,293.35,79925
263,10.0,288.45,80564
264,77.0,284.22,80564
265,332.0,282.54,81266
266,500.0,284.28,81266
267,177.0,282.15,81969
268,100.0,280.41,81969
269,157.0,279.62,81969
270,175.0,279.11,82542
271,500.0,283.83,83053
272,330.0,282.13,83629
273,500.0,283.57,84140
274,167.0,284.01,84716
275,500.0,285.36,85355
276,280.0,287.77,85355
277,177.0,285.95,85355
278,262.0,285.16,85993
279,229.0,286.02,85993
280,74.0,286.66,85993
281,164.0,283.3,86694
282,500.0,284.57,87269
283,280.0,285.6,87845
284,500.0,286.48,87845
285,476.0,289.76,88484
286,500.0,292.67,88484
287,500.0,296.63,88484
288,161.0,294.83,88995
289,500.0,295.08,89122
290,500.0,296.22,89250
291,387.0,298.6,89890
292,349.0,297.5,90401
293,498.0,301.47,91168
294,205.0,301.36,91168
295,61.0,301.69,91168
296,176.0,301.27,91805
297,80.0,301.03,91805
298,234.0,298.37,91805
299,500.0,300.18,91994
300,500.0,300.18,92570
301,168.0,296.86,93274
302,462.0,296.48,93274
303,500.0,296.48,93784
304,500.0,296.48,93784
305,36.0,291.84,94296
306,500.0,291.84,94487
307,372.0,292.9,95127
308,500.0,292.9,95446
309,500.0,292.9,95702
310,342.0,292.96,96278
311,500.0,297.05,96341
312,500.0,297.05,96469
313,112.0,297.92,97045
314,60.0,293.52,97620
315,500.0,293.52,98067
316,160.0,294.06,98707
317,35.0,289.93,99282
318,293.0,292.28,99282
319,500.0,293.65,99408
320,12.0,289.57,100048
321,11.0,284.68,100751
322,231.0,282.14,100751
323,195.0,283.5,101453
324,305.0,286.26,101453
325,500.0,288.39,101899
326,500.0,290.16,101899
327,137.0,287.99,102539
328,500.0,289.93,102602
329,500.0,293.8,102602
330,500.0,294.86,102602
331,403.0,298.78,103178
332,289.0,300.7,103817
333,220.0,301.3,104456
334,500.0,305.11,104583
335,500.0,309.2,104711
336,253.0,311.64,105415
337,500.0,313.38,105990
338,500.0,318.27,105990
339,500.0,320.75,105990
340,189.0,317.64,106566
341,500.0,319.62,106949
342,128.0,319.15,107461
343,500.0,324.04,107588
344,411.0,324.46,108228
345,462.0,328.86,108228
346,266.0,329.12,108802
347,500.0,329.12,108802
348,126.0,328.21,109505
349,32.0,327.76,109505
350,500.0,327.76,110015
351,500.0,327.76,110015
352,108.0,325.45,110719
353,500.0,329.14,111294
354,255.0,330.12,111998
355,31.0,328.29,111998
356,187.0,325.16,112700
357,428.0,326.62,112700
358,500.0,329.38,113210
359,274.0,327.12,113850
360,500.0,328.26,113913
361,154.0,324.8,114553
362,500.0,327.65,115000
363,500.0,332.55,115576
364,500.0,336.78,116088
365,500.0,338.46,116664
366,189.0,335.35,116664
367,500.0,338.58,117303
368,230.0,339.88,117303
369,500.0,343.31,117942
370,500.0,346.56,117942
371,470.0,346.26,118518
372,191.0,344.87,119157
373,500.0,344.87,119796
374,500.0,348.2,119796
375,280.0,346.0,120436
376,500.0,348.2,120436
377,181.0,348.24,121075
378,500.0,350.62,121075
379,10.0,348.43,121714
380,152.0,349.21,121714
381,151.0,349.08,122352
382,310.0,347.18,122991
383,500.0,349.38,123118
384,500.0,349.38,123118
385,500.0,349.62,123118
386,500.0,349.62,123758
387,500.0,349.62,123758
388,128.0,349.29,123758
389,63.0,344.92,124461
390,43.0,340.35,124461
391,500.0,341.48,124523
392,33.0,338.32,125099
393,363.0,336.97,125099
394,10.0,335.02,125099
395,500.0,339.41,125224
396,500.0,342.65,125224
397,375.0,345.6,125864
398,500.0,348.26,126247
399,496.0,348.22,126823
400,500.0,348.22,127398
401,399.0,350.53,128102
402,500.0,350.91,128229
403,500.0,350.91,128421
404,13.0,346.04,129061
405,326.0,348.94,129061
406,256.0,346.5,129061
407,500.0,347.78,129570
408,500.0,347.78,130018
409,500.0,347.78,130658
410,181.0,346.17,131362
411,274.0,343.91,131362
412,500.0,343.91,131362
413,128.0,344.07,131936
414,371.0,347.18,132511
415,500.0,347.18,132702
416,159.0,347.17,133278
417,201.0,348.83,133278
418,500.0,350.9,133404
419,138.0,347.28,134044
420,500.0,352.16,134555
421,86.0,352.91,135067
422,68.0,351.28,135706
423,79.0,350.12,136409
424,500.0,352.07,136409
425,126.0,348.33,137112
426,60.0,343.93,137112
427,496.0,347.52,137112
428,291.0,345.43,137749
429,198.0,342.41,137749
430,21.0,337.62,137749
431,500.0,338.59,137938
432,500.0,340.7,137938
433,500.0,343.5,137938
434,500.0,343.5,138514
435,99.0,339.49,139026
436,500.0,341.96,139537
437,347.0,340.43,140113
438,500.0,340.43,140176
439,500.0,340.43,140752
440,276.0,341.3,141392
441,208.0,338.38,141392
442,500.0,342.1,141454
443,500.0,342.1,141966
444,500.0,342.99,142670
445,500.0,343.37,143246
446,500.0,345.71,143950
447,107.0,341.78,144590
448,500.0,345.52,145165
449,297.0,348.17,145805
450,500.0,348.17,145868
451,476.0,347.93,146508
452,500.0,351.85,146508
453,335.0,350.2,146508
454,500.0,352.65,146954
455,254.0,354.88,147594
456,360.0,356.61,148233
457,500.0,357.33,148616
458,500.0,357.33,148616
459,460.0,359.19,149192
460,500.0,359.19,149255
461,500.0,362.65,149255
462,170.0,359.35,149895
463,500.0,359.35,149895
464,500.0,359.35,150470
465,131.0,355.66,151046
466,229.0,356.06,151749
467,480.0,355.86,151749
468,251.0,356.07,151749
469,82.0,351.89,151749
470,30.0,347.19,152385
471,226.0,344.75,152385
472,331.0,346.15,153087
473,282.0,343.97,153087
474,122.0,340.19,153661
475,500.0,342.39,153661
476,500.0,342.39,154300
477,40.0,340.98,154300
478,449.0,340.47,154939
479,500.0,345.37,155066
480,500.0,348.85,155066
481,500.0,352.34,155706
482,291.0,352.15,156346
483,10.0,347.25,156346
484,453.0,346.78,156346
485,500.0,346.78,156407
486,500.0,346.78,156471
487,500.0,346.78,157047
488,333.0,348.83,157687
489,500.0,353.2,157814
490,115.0,353.92,158390
491,144.0,350.36,158390
492,86.0,350.89,159156
493,106.0,348.32,159156
494,280.0,351.02,159858
495,500.0,351.02,160369
496,267.0,348.69,161009
497,475.0,349.69,161009
498,500.0,349.69,161009
499,500.0,349.73,161009
500,29.0,345.02,161009
501,116.0,342.19,161710
502,500.0,342.19,161965
503,12.0,337.31,162733
504,27.0,337.45,162733
505,98.0,335.17,162733
506,141.0,334.02,163306
507,98.0,330.0,163945
508,19.0,325.19,163945
509,500.0,325.19,164455
510,486.0,328.24,165095
511,157.0,327.07,165095
512,500.0,327.07,165221
513,500.0,330.79,165349
514,173.0,328.81,165989
515,500.0,328.81,166500
516,458.0,331.8,167204
517,316.0,332.95,167779
518,290.0,330.85,167779
519,156.0,331.03,168353
520,500.0,331.03,169056
521,500.0,335.17,169056
522,71.0,335.2,169632
523,145.0,335.86,169632
524,500.0,335.86,169694
525,500.0,339.6,169886
526,500.0,344.0,170462
